Title,Text
"Great Location, Wonderful Building, Excellent People","Located in Chinatown near a lot of the tourist sites. Wonderful 1940s ballroom is used as the dining hall. Many free meals, pub crawls and evening outings. My wife and I had our own room which had a bunk bed designed for three. The shared bathrooms are hard to get into in theâ€¦"
Amazing,"Absolutely loved this hostel. Brilliant staff, clean rooms and tonnes of space. Each day there was a different deal from free dinners, free bar crawls or activities in the main dining room. Worth every cent with great free breakfast every morning. "
Good Deal in SF,"Our flight was significantly delayed on our way to San Francisco, we emailed ahead of time to let them know we would be arriving late and they were very helpful. The breakfast was ok but it was nice to have it included with the rate. It may take a little while to get into aâ€¦"
Warm and Friendly,I have been  going here for the past six years while I am running the San Francisco Marathon.  Hotel staff is always warm and welcoming I feel like Iâ€™m going home to San Francisco or like I have a family in San Francisco when I stay at the Green Tortoise Hostel.   A greatâ€¦
Very happy with our stay!,"The hostel was a great place to unwind whilst in and around San Francisco. The staff were just fantastic, and certain events, evenings also, made us feel very welcome. The attention given to make the environment feel inviting was a refreshing change to the other hostels we hadâ€¦"
Stay ruined by one staff member,I stayed at the Green Tortoise a few years ago and had an awesome experience. Iâ€™ve since recommended it to lots of friends and family and they have all stayed. So when I had two nights in SF I straight away booked here again.   We had a rough day and our two flights were delayedâ€¦
what a great time!,"I stayed in a small room with my two teenagers, and we had a blast.  Green Tortoise has an amazing location near everything we wanted to see, so it became not just our hostel but a base for operations.  For example, we came over mid-day to have the free tea/ coffee they providedâ€¦"
Decent Value for an Expensive City,"If you want to stay in a safe and lively neighbourhood in central San Francisco but don't want to have a sell a kidney to do it, then this is the ideal place.    Yes, it is a hostel and, yes, it is a slightly frayed building, but there was nothing objectionable in either ofâ€¦"
Great location and friendly staff!,"My friend and i stayed here for 6 nights and had a wonderful time! The location is perfect.  You can walk to China Town, Fisherman's wharf, Pier 39, and so much more. The hostel is nice, I was worried about it being promoted as a 'party hostel' but the rooms were quiet and thereâ€¦"
Home from home,"Great helpful and friendly staff easy check in, rooms and furnishings a Little worn but well maintained and clean bonus free casual breakfast and dinner on alternate nights makes this place excellent value the location is in easy walking ðŸš¶ distance to all the attractions tripsâ€¦"
Good atmosphere ,I stayed here for three nights in a three person room with two friends. I found the staff to be very friendly and helpful. They were knowledgeable about the city and best ways to get around. The hostel had a lovely atmosphere. There were shared bathrooms and shower rooms on eachâ€¦
Fun atmosphere for the younger crowd,"Such a fun, affordable spot to experience San Francisco. The rooms are small but they do offer a few private room options. The ballroom is a great place to hang out and meet people from all over the globe. One of the times I was there they were shooting a movie outside! Itâ€™sâ€¦"
Great surprise ,"Ok, we were a little skeptical when booking our stay - we are young retirees, not the general demographic for a hostel.  As soon as we began the check in though we knew we had made the right decision.  The staff are all warm and helpful, and we felt comfortable immediately. Weâ€¦"
"Cozy, friendly, simply worth it!","This beautiful place is full of love and attention for the traveler. The staff is fantastic and passionate, always kind and patient (also with foreign visitors). Rooms are what you expect from an hostel, plenty bathrooms (enough for never have to wait), free breakfast in theâ€¦"
Odd Location but Otherwise Great,"Green Tortoise is an easy wal/busk from the just about anywhere in San Francisco, and was the first hostel in the US I ever stayed in.  The 4 bed dorm was decently sized, and the beds were comfy (although I could have done with a thicker comforter).  However, they useâ€¦"
AS IS,"Yeah, it is what it is. Not my cup of tea. I  stayed here because of many ppl recommendations. However, I would not stay here again. The location is okay, the price is fine, they are acommedating and will answer whatever question you need or have. For example, I needed a lockâ€¦"
Great stay! ,"Stayed in an 8 bed mixed dorm for 5 nights, great stay. The rooms had everything you needed and there were plenty of showers available. Free breakfasts and dinners make travelling onna budget easier. Staff very helpful, lots of cheap activities to sign up for. Great location,â€¦"
BEST. HOSTEL. EVER,"Great comfy beds, lots of history. Breakfast facilities great. The craic is mighty. Must stay if doing one of their awesome trips. Lots of good food places nearby. No downsides for me. They are good at letting you leave suitcases"
My first stay ever in a hostel,"It was my first ever stay in hostel and i was very skeptical. However it turned out to be amazing, nice clean bed and the room where i stayed. Good room mates. The hostel had a nice ambiance and decent workstation area. They had ample activities to be done in the evening whichâ€¦"
Amazing place ,"This Hostel is very nice!  We stay a few days ago there and ee feel very good, the atmosphere is nice and safe!  You can rent a bike from hostel, and shure they have a recomandation for a parking (in case you go there with a car)  Breakefast is good,cofee, tea, jelly, bread,â€¦"
Very comfy,"Friendly staff, great breakfast, convenient kitchen and bathrooms, comfortable rooms with some space to store your luggage, clean and extremely well located, the Green Tortoise is a very nice hostel!!"
Friendly but not quiet,"The Staff is very friendly and helpful, you also can find free food easy in the kitchen, but if you want a good night sleeping should better consider another option. We stayed there during Saturday, there were people walking, smoking in the restrooms and making noise all night,â€¦"
Pleasantly surprised,"We were booked for two nights, but in different rooms each night. There was a slight mixup when we arrived, but they were very fast to correct it, and actually upgraded our second night for free! Staff very helpful; good food/kitchen setup. Comfy beds etc. Lots of services:â€¦"
Nice hostel,"Very friendly staff and a lot of backpackers. We met some really nice people and it was a blast. Lots of activities or just places to chill. Rooms are all mixed up, but people in general think about the others in the rooms. "
First Hostel Experience,This was my first time ever staying at a hostel and it was a great experience. Very friendly staff and good price! The only thing I would have done different was book a private room instead of a group room but that's just because I like my privacy not because I had badâ€¦
"Great staff and vibe, but left after one night","Unfortunately I can only give Green Tortoise a 2â˜†, and this is just due to the friendly staff and their help in resolving issues.  We had booked for 4 nights and were given a private room in the seperate building a couple of blocks down from the main building. The room was smallâ€¦"
Stinky room,"I spent 4 nights at the hostel in a double room. There was a heavy stink in the room, probably because of a lack of cleaning. That really ruined our stay.  Apart from that the hostel was OK, good location and breakfast included."
Lovely hostel- 2nd visit in 5 years still as good as ever ,"Returned to the Green Tortoise for my second stay and it it is still as amazing as ever! Great location, comfy beds but the best part really is the ethos and atmosphere! They really want you to enjoy your stay and there are a host of freebies including delicious meals andâ€¦"
Great hostel!,"We stayed 10 nights in this hostel, and it was awesome. Best what we have stayed. We booked a private room, what was in a different building, so we got really good sleep. It was clean, and the bed was super comfy :) there was also a washing machine."
Great Hostel Great Location,"I stayed in the Green Tortoise for 5 nights in August 2017. Perfectly located in the heart of North Beach, surrounded by some cool bars, restaurants and cafes. It is also walking distance to the Wharf and Financial District including Union Square. Staff were friendly and helpfulâ€¦"
Excellent Location and Amazing Staff,I love  North Beach and being a local I expected a lot. I was surprised I could sleep in the 4 bed female dorm but I actually did even though I'm a light sleeper. Coffee is great in the big room - the kitchen is well equipped - and the location in North Beach is just a fewâ€¦
Wonderful Stay! ,"Green Tortoise is in an excellent location; very central to all the attractions, shops and food. Front house staff were always very friendly and helpful.   We stayed in a private room which is in a different building - less than 5 minutes down the road from the main building. Itâ€¦"
Amazing stay,"I stayed 5 nights in this amazing hostel . Great location, within walking distance of many interesting neighborhoods (the crookedest street, he fisherman wharf) and close to bus lines.  The hostel provides great entertainment like live music, pub crawls, or cooking nights. Theâ€¦"
"Good hostel, Good location ","Stayed here with my girlfriend, I have stayed in a few hostels before and this has to be one of the better ones. Mixture of friendly and awkward staff. Had plenty of activities for people staying there to get involved in! Would be great for a lone traveller looking to meetâ€¦"
Best hostel we've stayed in,"My girlfriend and I stayed in a private room here for a week. In short, we agreed that overall this is the best hostel we've stayed in ever, and we've stayed in about 40 over the years. What makes this hostel so good is that it has the organization and efficiency of the bestâ€¦"
Great hostel,"Great clean hostel, the building has a lot of character and the bathrooms and rooms are clean and comfortable. Friendly staff, free breakfast and usually they have a hostel organised event on most nights. Very central and safe location, would definately stay again! "
Awesome family experience,"It had been years since I stayed at a hostel (in Europe), but I booked a private triple room here due to the excellent price/location. Although the room was small, the beds were very comfortable, & the hostel was kept very clean. The staff was very friendly/helpful, and weâ€¦"
Excellent backcapper option in SF,"Good dorm system for backcappers, individual lock cages for each visitor, clean sheets, good infrastructure, international room with pool tables, make your own breakfast system good staff and good location.  Bathrooms could be better designed certain sinks are too small orâ€¦"
Loved it!!! ,"I absolutely loveeeed this Hostel. 1st off the staff was super nice and friendly. Is the place outdte a bit, yes but its clean. In my opinion VERY clean. I appreciated little details abt this Hostel: bathrooms were full bathrooms (sink, toilet and shower), showers had soap,â€¦"
HIGHLY recommend!,"This was my first experience at a hostel and it completely exceeded my expectations! All staff members at the front desk, particularly both Sarahs, are very friendly and extremely helpful! This hostel offers many delicious options in their free daily breakfast and they alsoâ€¦"
Fantastic place highly recommend!,"Stayed here for 3 nights in San Fran, staff were very helpful and friendly, rooms were comfortable and they provide a good breakfast to set you up for the day. Exactly what I expected from a hostel at a reasonable price. Great location into the center and only about a 10 minuteâ€¦"
The BEST of all! ,"My stay at the Green Tortoise was by far my most favoured, memorable and by far the most satisfactory of all my 40+ hostels ive stayed at. From the moment of entry I was welcomed with good tidings from the front desk staff and receieved as much help as I could possibly receiveâ€¦"
Loved it!,"This was a great hostel to stay at! we had a private room but the common room was a great place to meet people, eat and listen to music. They have events every night. Rooms were small but just what we needed, and clean Free breakfast and dinner 3 nights a week, the chef wasâ€¦"
Great value and strategic location within city center,I've booked for a private bunk-bed room for 2 nights. The staffs were friendly and was able to explain the logistics thoroughly. There's free breakfast daily and dinner on everyday other odd days (nice!). There's ample shower room and I didn't really wait long in the morning forâ€¦
I couldn't leave!,"A friend and I planned to stay for just as couple of days and ended up staying over a week.  When you step into the Green Tortoise Hostel you're welcomed with open arms. Throughout our visit here, we felt a part of a little international SF community. I met some wonderful peopleâ€¦"
"friendly, meet people, location","You will get energize as soon as you check-in. there were lot of traveler, backpacker, friendly help desk, etc. Most important the hostel location, quite near to most of the place. I enjoyed the kitchen concept and had good breakfast ! They were arrange airport pick-up too,â€¦"
The place to be,"The Green Tortoise is based in little Italy at te Broadway. You can reach within 5 min Fisherman's Wharf and other attractions!  Great place which offers laundry ear plugs and so on for a smal charge (ear plugs for 1$, laundry 2$).   You also have entertainment programs. Niceâ€¦"
Amazing stay,"Green Tortoise is an amazing  hostel.  They have a huge common area, with the most impressive kitchen I've seen in a hostel hands down. They have so many amenities and events that will keep you occupied for your entire stay computers to use and even a bicycle  room to hold yourâ€¦"
"Friendly, quiet and central ","We stayed in a private room in a separate building a block down the street. The room was small but had everything we could have needed. It was very quiet at night, heating worked well, the bathrooms were immaculate and the kitchen was fully equipped and modern. The balconyâ€¦"
Great location & extremely clean,Recently stayed at this Hostel for 5 nights and would definitely recommend. We stayed in a private room at the annex down the road from the main hostel. The room was extremely clean and the bed was one of the most comfortable I've slept in! The staff were all friendly and madeâ€¦
Amazing location - Hostel has loads of character,"I loved my stay in the Green Tortoise, the building has so much character, the dining room ceiling is spectacular, the staff were friendly and as a solo traveller it had a great vibe and was so easy to meet fellow travellers.    Francis Ford Coppola's Zoetope studio and cafe isâ€¦"
Served its purpose ,PROS: cheaper than most places. Breakfast good. More social interaction with fellow travellers. Helpful staff. Cozy. Party area close. Best mexican joint round the corner called Zorros. CONS: so many stairs. no lift. across the rd from a night club so a bit noisy over theâ€¦
AMAZING,"This hostel is absolutely incredible. The location is very nice, right outside of Chinatown and the Financial District, moderate walking distance from a muni metro/bart station, and very close to attractions such as the Fisherman's Wharf and Lombard Street. The room was veryâ€¦"
Very nice place,"From the bottom to the top you can meet very nice people. Dining room big, comfortable and useful with a very big kitchen, pool table and a little stage where people can play music! Night entertainment. Bedroom and bathroom are clean, and at the second floor you can find a veryâ€¦"
Great Staff,"We did not stay at this hostel, but did need help from their staff.  The front desk was very kind and accommodating, it was very much appreciated in a pinch.  We actually talked about moving a leg of our stay to here because the location was so great, but they were alreadyâ€¦"
Interesting Place,"More expensive than I am used to for a hostel. Lively, colorful place for sure. Super interesting and would have loved to stay more than one night for the experience. Place was clean and safe. Parking was annoying but we got there around 11 pm and its in the middle of SanFran soâ€¦"
Great location,"Really great location and close to everything. The only down side is that it takes far too long to grab a shower in the morning, toilets and showers are pretty much all in use from about 7am - 10am so expect to have to wait a while and give plenty of time to get ready, climbingâ€¦"
Fantastic stay,"A friend and I stayed here for 5 days. What a great hostel. The front desk clerks were always helpful and happy to show you around or answer questions. The building is very secure at night, no one is allowed in without their key. Breakfast is provided everyday until 10, and it'sâ€¦"
Cheap and easy,"We rented the top floor of the house that was not in the main hostel building.  Rooms were clean, shared bathroom, nice kitchen to use.  This was a nice place to stay and very reasonably priced.  The view of the bay bridge was wonderful (from a shared deck).  This would be greatâ€¦"
Amazing...simply amazing,"From the front desk to the vintage communal dining room to the spa room to the bedrooms, this one is a winner! There were plenty of bathrooms on each floor (all cleaned daily), free meals 3 nights a week, great central location, and secure place to store your valuables. Theyâ€¦"
decent option in a crazy-expensive city,"There are a lot of things to love about Green Tortoise: the kitchen's awesome, as is the included breakfast, and the free dinner system (even on days when there aren't free dinners, there was usually a box of leftover edible things up for grabs). And the lavender-scentedâ€¦"
Highly  recomended,Stayed at this hostel early September before and after going to Burning Man. More thank happy with the quality/cleanest and above all the customer service was amazing.They lose top marks from me because i did find them V expensive for a shared room Hostel. Its not that much moreâ€¦
Couldn't recommend enough,"If you're looking for a hostel to go to bars from and see the san fran sights this is perfect. Pretty much everything walking distance and the best bars literally round the corner. The hostel itself is very clean, staff very accommodating and so many recommendations for barsâ€¦"
Average hostel but affordable in expensive SF,"We stayed for 4 nights, it felt like the only alternative in super expensive San Francisco. We stayed in a private room and it's small but has a sink. It also has a chair and a small bed but nothing more. Since the room is so small it would be great to have some shelfs on theâ€¦"
Rude staff ,Staying here was ok it was clean and good size room. Although there is some nice staff. Whilst leaving our suitcases behind the desk (which guests are allowed to do). I was about to leave then realised I had left something in the bag. As I went to retrieve it I was told by aâ€¦
Good but could be better ,"Stayed at the Green Tortoise after being recommended it by a few people I met on my travels this past summer, thankfully the tip was spot on! Myself and a friend of mine thoroughly enjoyed our 3 night's here. Our room's whilst not overflowing with room were adequate enough,â€¦"
Best Hostel in San Francisco,Very cool and clean hostel with friendly staff. I especially liked the very small Sauna. Only thing that was missing is an area to cool off after Sauna. A small room for relaxation with a cold shower would be nice. The free dinners that are offered are very cool to meet peopleâ€¦
Great hostel! Loved it,"This was probably the best hostel my boyfriend and I have stayed in throughout our 2 month US travel trip. The hostel is clean, the beds and rooms are spacious and comfortable (although if you're sharing in a co-ed and you don't have a double bed, you will be ""top and tail"" withâ€¦"
Great stay,"We spent 3 days in a private room. The room was clean, small, it was ok. The bathrooms were ok. The staff is friendly. We liked the atmosphere there and the possibility to hang out in the ballroom. Diner is offered 3 times a week and it was really good. Breakfast is good too.â€¦"
Great hostel ,Loved this hostel! First time staying in a hostel we came for the outside lands music festival! The staff was incredibly friendly and helpful! I asked to change beds so I could be on the bottom bunk and they were more than accommodating.  The free breakfast helped save us someâ€¦
"Great Hostel, Great people","Just had a 4 day stay at the Tortoise, and it's safe to say it's the funnest hostel in SF. Met loads of great people in their amazing huge ballroom that guests can chill out and drink in. Jackie, one of the staff, made our stay particularly delightful, keeping us company whileâ€¦"
"Day Pass for showers, Laundry and Breakfast",We just finished the Yosemite tour with this company and were due to check in to another hostel later in the day. As we'd just camped for 3 nights and slept on a bus etc we really needed a freshen up and the tour guide offered everyone a day pass to use this hostel (where theyâ€¦
Good location ," The recepcionist was gross and unfriendly, But all the rest of the staff was friendly. Theres something really upseting, the stairs... I had to go up two flights of steps with my baggages, and i was pretty tired. No one from the hostel offered to help me... "
Average hostel,Location is alright - it's within walking distance to Pier 39 but it is located in the red light district. Often heard drunk people on the streets late at night so might affect you if you're a light sleeper. Always had to wait to use a bathroom as there are only 5 singleâ€¦
Great Stay!,"When I first walked in here i thought omg what have i booked... but it was an incredible stay!! It is a old building and its not modern at all, after a while i got used to it though and it gave the place a great feel to it. Was nice to be in a not so modern building. The hostelâ€¦"
California Dreamin',"We arrived at the hostel at approx. 12am, after a very long day of travelling from the UK feat. many delays and glasses of wine. Morale was low. The check in, however, was exceptionally easy, even though we arrived on 4th July and butchered the receptionists' party plans.  Weâ€¦"
Green Tortoise is Great!! ,"I don't stay in motels often.. But we had to try save some money!! Green tortoise was one of the cheapest accommodation available and had the best reviews when we had done some research.   The staff are friendly, the amenities are great! Beds are clean, comfortable....  Pillowsâ€¦"
Great one night stay,"I was arriving late into San Francisco on a delayed flight and had to relocate to another hostel and was recommended the Green Tortoise. The staff were incredibly helpful and efficient. Despite how quickly accommodation gets filled up in the city, the staff were able to reserveâ€¦"
Best hostel in America,This place was absolutely amazing and you feel super welcome here - The location is very close to everything - They have a deal with the local bike rental company (beware of the hills) - Free vegetarian dinner 3 nights a week and free treats most nights from a local bakery -â€¦
Great stay at an affordable price in San Fran!,"We had a great stay at the Green tortoise for 2 nights in a private room. Don't be put off by the comments about ""the long walk"" to the separate building for the private rooms, it's only two blocks away and isn't a hassle at all. When we checked in the lovely lady behind theâ€¦"
Best hostel ever!,"I liked everything about this hostel!  Location is pretty good and walking distance to many touristic attractions. Room is clean and it has a sink, so you donÂ´t have to go to the toilet just to brush your teeth. The hostel has around 3-4 toilets per level and I could always findâ€¦"
Amazing place to stay,"I cannot say enough positive things about this hostel.  My mom (74), my niece (16), and I (43) stayed here for four days in June as part of a three-week trip.  I wanted my niece to experience a hostel for the first time, and this was the perfect choice.  There were people ofâ€¦"
Great place to stay!,"We stayed in the green tortoise hostel for four nights in the triple private room. It was a great place to stay as the staff were so friendly. The hostel had enough bathrooms on each level for guests. Although some of the decor is dated, the hostel was always clean. Theâ€¦"
"good location, helpful with planning your stay, well equipped - great value for money","Although the rooms and bathrooms are not much, this hostel is actually pretty great. They organize a lot of social events, give free food and drinks, and you can find tips on exploring SF everywhere. They even organize some trips to national parks nearby. Staff is helpful andâ€¦"
This Hostel Rocks!,"My experience at this hostel has always been great.  Now I will say this, my ability to stay here being a Bay Area local is a major exception, so if you are local, don't expect it to happen for you as well.  I booked the same day I was going to stay (for one night).  Tony, whoâ€¦"
Great hostel,"My wife and I stayed for 3 nights and had a blast. We found the place on AirBnB and got a room for a steal, considering San Fran prices.  The central room being an old ballroom with high ceilings was a great place to eat the free breakfast and 3x weekly free dinners.   The placeâ€¦"
Would recommend this hostel,I was a little nervous at first to book this hostel because some of the reviews said it was very noisy.  We did not find it that way at all.  There were always available bathrooms.  The mattresses are a little hard.  There was a sink inside the room which was great.  Locationâ€¦
Good hostel in SF,"We had a great stay at the Green Tortoise, no complaints. Stayed a couple nights in a  private room and in a dorm room, both of which were comfortable. Hostel is in an old building but decorated well, bathrooms are shared and kept clean. I loved the giant common room where theyâ€¦"
Great place to stay,Location couldn't have been better if you've already done the usual tourist things. Excellent way to experience sf. Great dining and bars nearby. Staff was helpful and the place was nice. Super clean too.
"Typical hostel, fine.","Really friendly staff with lots of information, couldn't fault them. This is your typical hostel with loads of rooms and lots of people. We stayed for 6 days in a private room with shared bathroom. No issues with either, the rooms and bathroom areas were always cleaned. Theyâ€¦"
Massive place to stay,If you are going to go to a backpackers in San Fran this is the place to go. Staff were very helpful and very friendly. Great common room and also did breakfast when we stayed there as well as dinner some nights Always got things on thru the week.....
OK for the budget conscious - but would not return,"We stayed in a twin private room with bunkbed for 4 nights. Accommodation is San Fran is incredibly expensive, and this was the cheapest centrally located hostel we could find.  Next time we would go for Air BnB, even if it means being a little less central.   Pros 1. Location -â€¦"
Friendly and comfortable ,"We really enjoyed our stay at the green tortoise. All the staff were very friendly and helpful, there were good events in including free dinners three nights a week, free breakfast and activities in the evenings. It is in a very central location and the staff are helpful withâ€¦"
Fun and friendly,Me and my fella stayed here twice on our trip. We stayed in both private and dorm rooms. Both were clean and comfortable. On our last night the second time we got to stay in a special room called the Birds Nest. Staff all lovely and helpful. The hostel serves an excellent freeâ€¦
Great place to stay!,If you're looking for a place to stay and love travelling and others that love travelling then this is the place to be!! The people that coke through this place is awesome met so many great people and the location is terrific!! They put on a Superbowl tailgate party and too usâ€¦
Great amenities and location for the price!,"I stayed in a private room - it was small but had everything I needed since I was barely in the room anyway. Location was perfect and in walking distance to Chinatown, Little Italy, North Beach, the Financial District, and other neighborhoods in San Francisco. The immediate areaâ€¦"
Great facilities for a hostel!,"Staying here for a small week with a friend while exploring San Francisco.  For a hostel, the kitchen is indeed very clean and well equipped. The common area is quite nice, too. Music always playing, perhaps a knot too loudly though.  Rooms are fine. People are snoring, but itâ€¦"
"Tortoise O, Yes, Good food, Great Staff Centrally Located: Sauna 3rd floor","Green Tortoise O, Yes! ....The Youth Hostel is located in North Beach (near most everything you want to see) also all major bus lines and Ferry Rides. The staff is friendly, the rooms are clean. The main area is ballroom this where the kitchen is as well, has 30 foot or 10 Mâ€¦"
Bring ear plugs ,"The room was alright - we were in a private room. Felt a bit dingy and dated, but that's most places in SF. Probably wouldn't stay here again.   Pros - location was good, free breakfast, free wifi.   Cons - dirty, expensive, noisy.   Tips- bring ear plugs, there is overnightâ€¦"
"Nice, cheap hostel","Not the best location, but is a great cheap hostel and we still managed to get around, although our group don't mind walking but others might.  Fairly nice rooms and had some form of dinner or entertainment each night. The free breakfast was good too."
Private rooms - clean but so noisy!,"After a great stay in a dorm in 2012, we returned and tried out the private rooms which are in a separate building a couple of blocks away. The building is nice, with small but comfortable rooms and a good kitchen.   However, the building is incredibly noisy. We slept with earâ€¦"
"Second time, still loved it","This was the second time I stayed at the Green Tortoise, but the first time in a private room. Everyone says the private rooms are in a separate building and I knew this but I wasn't prepared for how far away the building is.  It didn't bother us when we didn't have bags, justâ€¦"
Friendly & Clean,"This hostel is for travelers of all walks of life. The building is gorgeous old SF style. The ballroom, used for meals, socializing, and fun has amazing aesthetics with great views.  There are plenty of clean shower rooms with hot water.  Walking in this neighborhood is veryâ€¦"
Great hostel!!!,"Excellent location! There's a tram stop just down the street, and within easy walking distance to good cheap restaurants. We got a private twin room, and it was just big enough for 2. Only tiny drawback was the bed. Super hard, like sleeping on a wooden board. But that was it.â€¦"
The best,Super fun and social without being crazy. Very friendly staff. Not too expensive. Great location right near little Italy and China town. Comfy beds with lots of leg room if you are tall. Very nice social room with huge windows all around. 
Pretty good,"Everything was perfect. Breakfasts were amazing! Bathrooms were clean, as were the rooms. Everything smelt of weed though which was kinda gross, especially the lounge. And also the wifi only works in the lounge which was lame since they said it worked throughout and was alsoâ€¦"
Awesome and affordable!!,Stayed here with another girl in late October in one of the private rooms  as we weren't too sure about dorm rooms. The private rooms were in another building a couple of streets away and had a balcony with a beautiful view of bay bridge and the financial district. Honestly feelâ€¦
Better than I remember...sort of,I stayed at the one in Seattle almost 20 years ago. This one brought back great memories of that time and place yet was even better with a great breakfast included & WiFi being the norm now. I missed the community supper by checking out Monday morning but I imagine it to be likeâ€¦
Highlight of my stay in San Francisco ,"Maybe I just lucked out and had the time of my life because my fellow travelers were an exceptional bunch, but I imagine my experience was not exceptional, and the staff is extraordinary. So easy to be ""a part of"" when everyone is so kind. I stayed a week and became friends withâ€¦"
Awesome!,Stayed in this hostel with 15 other travellers I met whilst travelling California. We were able to stay in a room together (for five people) and our friends where close by. The staff was very helpful; had maps on hand and gave us every detail we needed to know. The location wasâ€¦
Great location & large rooms!,"Great location, right in the middle of the action in North Beach. Public transport close by and walking distance to Fishermans Wharf and Union Square (decent walk mind you) Free breakfast was fresh and delicious and all facilities were clean. Staff not that friendly but havingâ€¦"
