Hotel Name,Title,Text,Date,Rating,Traveller Type
San Francisco City Center Hostel,No good,"We stayed at the hostel for 6 days and found the staff at reception to be very unhelpful and a bit rude. When asking about anything relating to tourist activities or any help we required, we were given one word answers or no help at all. Would not recommend.",11/18/2019,2,Friends
San Francisco City Center Hostel,Comfortable and Clean,"We booked a private room with ensuite. The room is comfortable. 
NO tv, No coffee, food or drinks allowed in the room.
,Room faced the street so there was noise during the nightand early morning.
Breakfast starts at 7.30 am
Hot breakfast 8.30 am.
There is a great kitchen to cook and prepare your own food with fridges available for food storage.
The hostel is located in Tenderloin,
Please do your research on the area before booking. 
We traveled via the Bart train from the airport ,which is easy,arriving in Union Square.
Highly recomend using Taxi/ Uber to Hostel or along Powell St to Geary St then 2 streets down at the corner to Ellis. 
The area has social problems which can be very confronting",10/18/2019,3,Couple
San Francisco City Center Hostel,"Nice building, not so nice area.","Not a shock but the location is in a rough area, our first walk was just awful and we uber'd from then on. The building is nice and our private double was very spacious (expensive though, not a 'hostel' price). I know this is a hostel but the wifi's inability to work consistently beyond the 2nd floor is downright fustrating. Lots of rules for staying here, enjoyed the breakfast and the happy hour bar, the staff were fine (the lady with her own unique style (sorry didnt catch name) was particularly pleasant). Id recommend staying here to some friends, but only the hipster ones (and not lone female travellers).",10/18/2019,2,Couple
San Francisco City Center Hostel,Great hostel,"My husband and I got a private room. It was our second visit and the hostel met all we could wish for again. It’s amazing place with atmosphere, very clean, the staff is friendly and professional. And it’s right in the city centre!",10/18/2019,5,Couple
San Francisco City Center Hostel,"
Great on the inside, downright scary on the outside…","The trip from BART civic center to the hostel was one of the scariest walks of a lifetime. Homeless and drugs everywhere, we saw needle use on the street. A word to the wise...Uber to there. And from there. 

Once inside, we enjoyed the place. The bar had $4 pints. The room was comfortable and clean. We had a private room and bath. 

No AC so we slept with open windows. Since we were inside we found the sounds of the city entertaining, even if we were awoken by sirens or cussing. Downright scary if one was outside however.",10/18/2019,3,Friends
San Francisco City Center Hostel,Pleasantly surprised,"Yes, the location is pretty bad if let it get to you. I walked the streets as a Solofemale just by myself and was completely fine and it takes you about five minutes to get to a better part of the city. Also there are at least five Vietnamese restaurants (which I love) and a convenience store to buy drinks around the corner. The hostel itself is cute, styled with an eye for detail and staff is doing their best to make you feel safe, checking everyones room pass on entrance. I stayed in a four bed room where we even had our own bathroom which was a very pleasant surprise considering it is a hostel. The room and bathroom were both clean and the beds comfortable, the lockers had a good size for our luggage. Breakfast is very basic, but they offered eggs and pancakes for just one dollar which I find very generous in a city as expensive as San Fran.",9/18/2019,4,Friends
San Francisco City Center Hostel,Area ruins the hostel!,"As a female Solotraveller I had to cut my 4 night stay to 1 due to the unsafe nature of the area. On my walk to the hostel on my first day I was followed and then harassed for my phone and bag, luckily a passerby helped and walked me to the hostel. Then around 4pm I was waiting for an Uber outside the hostel and there were a group of homeless openly injecting drugs on the street. I’ve never felt so frightened and intimidated despite travelling alone countless times. When arriving to the hostel the woman on the desk was friendly but downplayed the area massively and said it was safe to walk alone when it clearly wasn’t. Doom was fine, beds and bathroom very clean. I’m sure it’s much better if travelling in a group but I definitely didn’t feel safe when there.",9/18/2019,2,Solo
San Francisco City Center Hostel,Not worth it,"Would not recommend (just based purely off location). I was supposed to stay 3 nights, but reduced down to 1. Could not leave hostel without being inundated with/leered at by homeless people - I felt so unsafe I ubered a one street distance. Could also hear homeless people from bedroom. Staff friendly and quite a cute hostel, but not worth it - especially as a Solotravelling female.",9/18/2019,2,Solo
San Francisco City Center Hostel,"Fantastic hostel, concerning location","Pros - The hostel itself provided a great experience! It was clean, the building was beautiful, and it was a really social hostel and easy to meet interesting people. I would highly recommend getting a drink at the hostel bar and the egg & pancake breakfast for $1. 

Con - The location is not ideal due to the large homeless population and drug activity in the area. Although I never felt in danger walking around, it was very concerning and overwhelming at times, so just be prepared for that. I would recommend taking a taxi or uber to the hostel when you first arrive (rather than walking or busing in like I did), so that you can get a feel for the area first. I never had any safety issues during the day, however I avoided walking around at nights which was unfortunate, because I enjoy experiencing the nightlife when I visit new places. Otherwise, the location is close to most other major city sites, and is a good way to see a part of SF that you may not otherwise experience.",8/18/2019,4,Solo
San Francisco City Center Hostel,Sleepless night as other traveler did not care and staff could not be bothered,"Staff makes sure that you sign that you have read all the rules, but the they do not care so much if someone does not stick to the rules. Girl came into our room in the middle of the night, about 2 am and decided to take a bath in the ensuite bathroom. This took very long, we could hear everything. I asked her in a friendly way if she could take a shower instead but she said she deserved a bath to relax after having a long drive and she did not care if people could not sleep because of her. I asked at the reception for help and the guy could not be bothered. It could have been so easy if he told her that she would pay a fine for violating the rules. Some people otherwise don't care.",5/18/2019,2,Solo
San Francisco City Center Hostel,Nice hostel good service,"We stayed in a private room which means you have your own bathroom and toilet.
The rooms are clean and nice.
The staff is very friendly and helpful.
The location is good although there are a lot of homeless people in the neighborhood .
This is nothing to worry about because the people will not bother you.
The breakfast is simple but nice.
For instance ,a fried egg for breakfast will cost you 1 dollar .
There is a kitchen which you can use if you want .
We had a great stay !",7/18/2019,5,Friends
San Francisco City Center Hostel,Take the tour!,"Stayed at this hostel and took the free tour of China town with Anthony. It was totally amazing. He, having lived there for so many years,knew the area so well and took us to all the places we would have missed and had all the historic and insider knowledge as well as showing us some awesome places to return to and to eat, can't recommend highly enough. For a great hostel with the most friendly atmosphere and stunning decor this place, and the tour, is a total must.",7/18/2019,5,Couple
San Francisco City Center Hostel,Loved it here!,"Really social hostel, I loved it! I was a bit shy the first night I arrived but I went down to the bar and the barman, Nico, was really friendly and made me feel welcome! The breakfasts are great too!",6/18/2019,4,Solo
San Francisco City Center Hostel,"Quirky and Cute, but a bit of a Dodgy Location","We stayed at the hostel for 4 nights at the end of the July, and were very pleased with the actual hostel! It was super quirky and cute on the inside, the beds were comfy enough and the staff were beyond helpful! They also kept a close eye on who was coming in and out of the hostel, so we felt super safe with them on the door! On top of that, breakfast were decent- good toast and cheap eggs if you wanted that option- not much more we could’ve asked for in that regard! 

In saying that, I don’t think we’d be back. Although the location was close to the city centre and everything you could need (ie the F market tram which took us everywhere), it was in a super dodgy area! We read that there were a lot of homeless people around and thought we’d be okay because we live in a city in Australia, so have seen a lot of homelessness- but this was excessive. Walking on the street really scared us as two girls in our twenties, and we couldn’t walk around at night so we’re forced to take a lot of short Uber rides from door to door. In fact, one of our Uber’s even said to us as he dropped us off- ‘be safe girls, and don’t walk around at night- this is the area that you literally will get raped on’, so it was pretty bad! 

The staff were wonderful and did all they could to keep us safe- and nothing happened to us, but just wanted to stress what you’re in for. Sologirl travellers should spend more and pick somewhere else.",7/18/2019,3,Friends
San Francisco City Center Hostel,Book here!,"A really fun quirky hostel. I have stayed in a number of hostels all over the world and this ranks right up there. Really cool, quirky interior. The breakfast with local fresh-baked bagels is awesome. And the $1 pancakes and eggs the best dollar I spent in the US. The rooms are basic but perfectly adequate and I got a good nights sleep. As others have said, lots of homeless but now I've seen someone shooting heroin so it's a life experience I guess!?",7/18/2019,4,Couple
San Francisco City Center Hostel,Funky hostel in the Tenderloin District,"Stayed for five nights in a private room with ensuite. Even though the room was little, it was really clean and well appointed. The staff were helpful and friendly (mostly) and were diligent on security, which being in the Tenderloin District is important.

I thought the hostel was really funky and we loved the fact that breakfast was included in the price! We did opt for the $1 additional charge for eggs and pancakes one morning!

So, the Tenderloin District....I had read reviews saying that there were homeless people near the hostel, but didn't really worry about it when I booked. However there are a LOT of homeless people, we were really shocked by how many there were, how obvious the drug problems are, and also how dirty the streets were. Having said all that the homeless people do leave you alone and we quite quickly got used to the environment. One great part about the Tenderloin is there are some really good restaurants and it is really well positioned in the city.

If you are prepared for the homeless situation, I would highly recommend this hostel and would definitely go back. Travelling is all about new experiences - and we certainly got that!!",6/18/2019,5,Couple
San Francisco City Center Hostel,I will come back!,"The individual living-area creates a very welcoming atmosphere. Rooms little, but very clean. Breakfast good. Safe place even if outside strange area. Staff very cool and helpful. Thank you so much. 
Christina Stuttgart, Germany",5/18/2019,5,Solo
San Francisco City Center Hostel,Great hostel in a solid location,"If you are looking for a private, comfortable, and quiet room and not pay for the usual San Francisco hotel prices then this is a great option. I booked a private room which had my own bathroom and incredibly comfortable bed. Pretty much like a boutique hotel with other rooms having dorms etc. The front of the house staff are nice and efficient, the bar is fun at night with cheap drinks, and there's a cheap breakfast option or a free option as well based on what you prefer. 

I took the BART to Powell Street and walked along Ellis St. to the hostel. The walk only took me about 10 - 15 minutes. However, if you are from a city with not a lot of homeless people you might find this walk and the neighbourhood quite interesting. I am from Toronto so this didn't faze me. Don't be fooled by the neighbourhood though, it has a lot of character and cool bars/restaurants. 

I've stayed in a lot of hostels around the world and I have to say this is a great option when visiting San Francisco. Wouldn't think twice about booking here again.",5/18/2019,5,Solo
San Francisco City Center Hostel,Affordable Rooms and great atmosphere,"Stayed here for 3 nights in a private room. It was a welcome change from a typical hotel culture. It has great common areas and people from all over the world. There's a bar with affordable drinks inside, free breakfast of bagels/coffee/tea/fruit, and for $1 you can get eggs & pancakes made to order!

It's surrounded by great affordable food and a small bodega is right on the corner if you need any daily supplies.

It's not in the best part of town, but I never felt unsafe.",5/18/2019,5,Couple
San Francisco City Center Hostel,One of the best hostels I've stayed at,"The hostel was amazing, really clean and comfortable and in a good location. It's true as many reviewers say that it's in a rather bad neighborhood in the city. But we already knew that and to be honest it wasn't as bad as some people put it. I wouldn't recommend walking nearby at night but during the day it's fine. The rooms are spacious, have a private bathroom, and are cleaned every day. The staff is nice in general, some of them were definitely better than others but they were great as a whole. And the best part of this hostel, it offers an amazing free breakfast with toast, fruit, coffee, bagels.... and eggs and pancakes for 1 dollar more. Overall a much recommended stay, one of the best hostels I've been at.",5/18/2019,5,Friends
San Francisco City Center Hostel,Boutique hotel vibe in the Tenderloin.,"This is one of three HI hostels in SF. City Center is by far the best. It has the air of a boutique hotel. The lobby is comfortable and inviting. The bar/cafe area has a cozy, hardwood ambiance that you won't find in a hotel. We stayed in #609, which surprisingly had an incredible view. (I was in town visiting family, who lamented that their Big Fancy Hotel had a view of the adjacent building, about 10 feet out of the window, and not much else - ha, ha!)

We enjoyed the old school elevator, making me nostalgic for a time I never actually lived in, but admire nonetheless. The room was clean, quiet, and relaxing. We dug it, and will surely be back. Breakfast was an unexpected treat - eggs and pancakes for a buck? DEAL.

The Tenderloin neighborhood isn't the cleanest or nicest. Lots of homeless folks, and would advise keeping your head on a swivel after dark. But that doesn't affect how nice it is inside the hostel - a welcome oasis after walking for blocks through gritty SF.",4/18/2019,5,Couple
San Francisco City Center Hostel,Funky and clean,"First of all, beware of the location of this hostel. It is located downtown, with walking distance to many things but it is in a dodgy area and if you are not comfortable around homelessness and other less fortunate people then you may need to reconsider staying here. However I never felt unsafe. 

We shared a 4-bed dorm even though it is listed as a 5-beds. I was pretty impressed with how clean the place is. Breakfast is good, nothing fancy. 

The staff can come across as cold and short, but there was always a sense of friendliness around.",4/18/2019,4,Friends
San Francisco City Center Hostel,"Unfriendly Staff, Scary Neighborhood!","Neighborhood: apparently it is located in Tenderloin neighborhood (a high-crime neighborhood -- Wikipedia). I was walking from Civic Center to this hostel at a rainy night (9pm), and it was a scary experience! Groups of people were lingering around, suddenly somebody was shouting/cursing/yelling/mumbling/singing. I felt super unsafe!
(I still felt unsafe when I was walking around in the morning 9am)

Staff: Unfriendly. The staff harshly demanded me to show Security Card (I didn't know what that was, I had not checked in & I haven't stayed at any HI before) in a very unfriendly tone. He finally understood that I had not even checked in. His unfriendliness set a negative vibe.

No complaints about the cleanliness, the bed, and the room, though",3/18/2019,2,Solo
San Francisco City Center Hostel,Great price for a short stay.,"I stayed at City Center for two nights with a friend. The hostel was clean and most of the staff were friendly. We stayed in a 4-bed female dorm, and aside from inconsiderate roommates the first night, everything went well. The mattresses were so comfortable and were greatly appreciated after walking around the city all day. We took lyfts to and from the hostel after the first night because we didn't feel safe walking very far in the area.

I would like to give a warning to Solofemale travelers who are planning to walk to the hostel. Don't walk along Ellis street to get there, especially late afternoon/evening. If you're coming from BART or the ferry building, take Market to Larkin until you reach Ellis. Google maps gave us the quickest route, which had us walk along Ellis. If I'd been more familiar with the area, I would have taken a different route.",2/18/2019,3,Friends
San Francisco City Center Hostel,Excellent Hostel in SF,"The hostel is the best I've been in. Friendly staff.
The free breakfast is just some bread, some cheese and coffee or tea. Oh, ad I forgot - there is also peanut butter ad jam... Adding a 1$ will give you either 4 eggs or 4 pancakes.
The room is comfy, very clean. Unfortunately we were right next to the elevator and the walls are not sound proof...
All i all, given the prices of hotels vs hostels - I definitely recommend to stay here.",1/18/2019,5,Solo
San Francisco City Center Hostel,Terrible Treatment from Staff,"Myself and a friend of mine stayed at the City Center hostel recently, January 21st through the 24th, 2018 (3 nights) and while everything was okay with the room we stayed in, we had a major issue with the staff through the entirety of our stay there.

Every encounter that we had with a staff member (except for one guy who was at the desk a Couple of times, I don’t know his name) were incredibly rude and standoffish to us, which left us feeling incredibly uncomfortable through the entirety of our stay, as the treatment was enough that we anticipated walking down past the desk throughout the day as we worried about having to have interactions with the rude staff at the desk.

This began as early as check-in, when the man who checked us in was very cold and rude to us. It proceeded with another woman who was at the desk each day, who was very rude to my friend when she asked about using a hairdryer one day, and then another day said some rude things to her about my service animal.

On two occasions, we overheard this woman gossiping about us after we walked by the desk and up the stairs, when both my friend and I were nothing but kind to everyone at the front desk, until we began seeing the pattern in treatment.

While the accommodations were fine, the level to which we felt impacted by the behavior and treatment from multiple people at the front desk made our stay at the hostel absolutely terrible. When you’re paying a good amount of money per night to stay at a place, the last thing a person wants is to be made to feel like they’re a burden or mistreated when they’ve done absolutely nothing wrong.

Being on the receiving end of this treatment from the staff left us feeling so uncomfortable that we dreaded having to return to the hostel or have any interaction with the staff, not knowing if they’d be rude and act like normal questions where a huge issue, or if we’d over hear them gossiping about us after we walked by.

As paying guests of the hostel, this is treatment no guest should ever experience.

I would never recommend this hostel to anyone, unless they want to be made to feel unwelcome at their own accommodations they're paying for. I would rather stay at a crappy hotel with friendly front desk staff who you don't have to worry about gossiping about you while you're steps away than stay at this place.",1/18/2019,1,Friends
San Francisco City Center Hostel,Amazing location,"Stay here if you want to be in the centre of everything San Fran has to offer. Great rooms and really helpful staff. There are also plenty of spaces to spend time outside of your room. Computer room, theatre room, lounge and kitchen. Wifi is fast. The only downfall was that one of our group is anaphylactic but the hostel didn’t want to remove the peanut butter from kitchen temporarily.
If that isn’t an issue for you then definitely consider staying here",12/17/2019,4,Friends
San Francisco City Center Hostel,"Everything else is perfect, lots of ""Peaceful Homeless's""","Well, i stayed there for only 2 days with some other girls, everything is perfect, maybe the room of 4 is a little bit small, but eh .. its a hostel that you will only spend some few days in it. 

I had to pay 3$ for each night because i didn't join the HI Hostel membership, idk why i have to pay for not joining or signing for a membership, kinda weird didn't experience that in any other Hostel.

Bathrooms are kind narrow, 1 shared bathroom for rooms of 4.

The place is very cosy, staff are awesome.

Saw lots of Comments on the Homeless's that they are a lot, well yes they are but very peaceful. nothing to mention really.",12/17/2019,4,Friends
San Francisco City Center Hostel,Great accommodation in strange area,"Its in very strange area of San Francisco (many homeless and drug addicted people on the streets around). But the hostel itself is really good and safe. During checkin we have got a card which we had to show everytime we come in - therefore we felt safe. Our twin bed room was spacious, we had own bathroom.
Internet working all the time, beds comfortable, staff friendly, smiling and helpful. 
A great bakery is just 4 blocks away - Mr Holmes Bakehouse at 1042 Larkin Street.",5/17/2019,4,Friends
San Francisco City Center Hostel,Surprised how good an hostel is…,"My 31 year old daughter booked into the hostel due to the price of the hotels in San Francisco..and asked me to join her...at 58..!
The hostel was better than some of the 3* hotels I have stayed in. The staff were great and very helpful and friendly.
The rooms although basic were clean, comfortable and roomy. The WiFi was good and free...the bar was nice and reasonably priced. Breakfast was free which consisted of bagels and jam..which was nice to eat with other travellers..I didn't even mind washing up.! The hostel is near bus stops to get around to all the tourist spots , the bridge, fisherman's wharf and union square.
As mentioned by others the area is pretty dismal due to the state of the buildings and the number of homeless wandering nearby...we were a bit worried about staying..but after day one and keeping away from the back streets as advised it wasn't that bad. In fact left feeling sorry for the homeless ...and actually after speaking to a few of them they were quite friendly..although saying this you obviously need to be careful. 
After spending 5 nice days..seeing the sites..the golden gate bridge is amazing..and my daughter run the San Francisco marathon...the hostel was a good choice at a good price.",11/17/2019,4,Family
San Francisco City Center Hostel,Its a backpackers,"Friendly staff, classic backpackers accommodation. Take your own lock for luggage storage. 
When checked into my shared room, the other occupants were all smoking weed, and as I have a no drugs policy at work, i asked to change rooms and they did straight away. 
They have many tour options and info for you. Short walk to the station or bus stop or cable car. A bit scary at night but the homeless seem to leave you alone. Breakfast was ok, plenty of bagels and fruit.",10/17/2019,4,Solo
San Francisco City Center Hostel,An experience,"We recently stayed at the San Francisco HI hostel and definitely had an adventure.
Firstly, as more reviews suggest, the area is pretty seedy. Just like Simba was warned by his father about the Elephant Graveyard, we were warned about what we called the ‘Triangle’. Unfortunately, just like those famous lions, we stumbled in and it made for a very intense walk home. We were shaken to a point that we looked for other options, however we were happy that we stuck it out.
We weren’t sure about the hostel at first and were expecting the worst however our room exceeded our expectations by a mile! It was incredibly clean. The hostel has some really wild rules about not eating in your room etc which was a bit annoying but we can understand why.
The staff were nice but we had a mixed bag of encounters. We felt uncomfortable the first night when one of our cards didn’t work. We had been chilling in the common area and weren’t carrying ID. We felt like we were an inconvenience to the person who served us, who was probably in the middle of a jam session. Tip: don’t put the card next to your phone! For the rest of the time everyone was easy.
Breakfast was great and you can’t go wrong with a massive serve of pancakes for one dollar! 
We may recommend this to other people but depends on what you want from your stay.",11/17/2019,4,Friends
San Francisco City Center Hostel,A nice hostel,"I stayed in this hostel for three nights. The decor in the hostel is beautiful and the staff were very friendly and were happy to help with directions or things to do. I would recommend this hostel to people on a budget staying in San Francisco. The area is not for everyone as it is in a district known for its high homelessness, but my friend and I found that for two young females, we were both fine and we weren't approached by anyone. I wouldn't recommend walking around at night time though.",12/16/2019,4,Friends
San Francisco City Center Hostel,Acceptable Hostel but Horrible and Insecure neighborhood,"The hostel is acceptable. Most of the employees are kind and the cleaness is excelent but the hostel is located in the worst area (and street). It is full of homeless which are doing their stuffs, selling drugs and using the street as a bathroom. I was there by myself and at 7pm (when the sun goes), I locked into the hostel so I couldnt have too much social night activities because I was scared.",9/17/2019,2,Solo
San Francisco City Center Hostel,Not overly cheap for a dorm.,"Thumbs down:
I had a 4 bed female dorm. The room was cramped, 2 bunks and little floor space.
The room was dearer than I expected. It was over $50 with tax for 1 night.
The local area appeared to ropey. I wasn't sure it was overly safe.
Bathroom in the room - noisy when flushing in the night time.

Thumbs up:
There was a locker in each room for a large bag / valuables - but space was tight for luggage if not in the locker. My case didn't fit in it so it took up a lot of room.
Towel and clean bedding provided.
Breakfast included - but nothing for those checking out early like myself.
Night lights and sockets by each bunk.
Good wifi.
Big kitchen.
Free tea / coffee. 

I only stayed for roughly 6-7hrs as I was leaving for the bus station at 4am. This was just a cheaper option that getting a room in the city by myself. However, it was still dear enough for a small dorm.",8/17/2019,3,Solo
San Francisco City Center Hostel,Clean...but that's it.,"I've stayed in quite a few hostels across the world and this has to be the most poorly equipped. 

Firstly, it's located in California and there is no air conditioning throughout the entire establishment. I spent my 2 nights here sweating profusely and completely uncomfortable. I understand Northern California tends to be cooler but this weekend (labour day) has been the hottest for a while and the hostel wasn't prepared at all. The heat was inescapable. 

Secondly, the area is so intimidating and unfortunately we had no prior warning from staff like other guests seem to have gotten. The (quite rude) girl at reception couldn't get rid of us quick enough. She seemed completely annoyed by our presence and didn't seem to want to give us the time of day. This is something we experienced with both females and the 2 males working. They gave off an attitude of ""we're better than you"" and it's very off putting to say the least. And they all seemed preoccupied with their social media on the computers which isn't very welcoming. 

Thirdly, the kitchen. A very clean kitchen but lacking in basics like mixing bowls or even a freezer. The heat in the kitchen was hard to stick and it meant we ate out more than we would've liked. 

The decorations throughout the hostel, yes, beautiful and it's clear a lot of thought went into them but it seems it hasn't gone elsewhere. I won't be staying here again and it's put a sour taste in my mouth about San Francisco. 

The hostelling international we stayed at in San Diego was much more friendly, better equipped and cheaper. Having paid more I was expecting more but with the amount of money I paid here and what I received, I feel cheated.",9/17/2019,2,Friends
San Francisco City Center Hostel,Affordable & good location for walking,"If you're looking for cheap & friendly accommodation this is the place to be. Yes it's a hostel so you'll likely have to share a room but it's affordable and there are ample social activities.

The hostel includes bagels for breakfast which are complimentary. There are activities each day if you're interested as well.

It's about 15 minutes walk to union square shops, and 30 minutes to fisherman's wharf. There are lots of homeless people around but for the price you pay it's worthwhile.",8/17/2019,5,Friends
San Francisco City Center Hostel,Presently surprised,This is my first time staying in a hostile and I'm presently surprised. This place has a super funky feeling. Everyone here is very welcoming and helpful. The beds are super comfortable...I had a double with a bathroom. There's a night bar with beer and wine. The ONLY downside is the neighborhood is a little sketchy. Even with that I would recommend staying here and would stay again!,8/17/2019,4,Solo
San Francisco City Center Hostel,"Clean value for money hostel, location to be aware of though.","Very clean hostel, I'm not the hostel type however my partner and I had a private room with ensuite here due to the expensive accommodation in San Fran and it was surprising clean and spacious. It was a fairly loud location and the room we found quiet hot without much option but to leave the window open. I would warn travelers about its location however, with ALOT of homeless and mentally ill people on the surrounding streets being a mission area. I was instantly anxious and felt uneasy the whole stay and it meant we didn't walk to many places unfortunately and took Uber instead due to this. The hostel staff do warn you on a arrival, however had we have known earlier I don't think we would have stayed here purely due to the area. It definitely put a dampener on San Fran for us.",7/17/2019,3,Couple
