Solo,Title,Text
,Pricey and very small ,"The rooms in the hostel are very small and it is better when you don‘t bring a lot of luggage to store with you. No chance to move freely in the room without disturbing the other people in the room. Also, the floor hasn‘t been cleaned once (we stayed 5 nights).Therefore, bring…"
,Great facilities and fun activities!,"Good hostel, a great common room with ping pong- and pool table and a big kitchen! They also have a sauna and very fun activities (e/a beer pong turnements and pub-crawls, both for those who stays at the hostel and in other places!  Fair warning though, there's a lot of stairs!"
1,Excellent value!,"I've been 5 nights in a 4-beds room in October 2018 Rooms were clean enough (not spotless to be honest, but enough for an hostel), single hared bathrooms with shower and/or sink and wc.  The offer free basic breakfast, three free dinner per week and a lot of entertainment each…"
,Extremely welcoming,"You need to know what to expect, but at half the price of hotels in the area, the Green Tortoise is a great option. The rooms are small, but clean; the shared bathrooms likewise.  All of the staff were extremely welcoming and attentive. There's a free breakfast every morning,…"
,Hostel,Excellent place to stay! Great friendly and helpful staff. Good community feel with lots of areas to socialize and get to know other travelers. Good cost for the city. Would stay here again for sure.!!
,Great place to store luggage $5 per piece,"Great place to store luggage $5 per piece - Took a cruise. Needed a palce to store my luggage. This place was great, luggage was locked up. Can store it 24 hours a day. Some of the other places only offer limited availability. For example the cruise terminal only stores till…"
,Everything a hostel should be,"Green Tortoise was great. Everything a hostel should be. Hotel taxes, etc. make San Francisco not the cheapest city for hostels. GT makes up for it with the free massive breakfast, the weekday free dinners and general good+safe vibes. I also liked that the clientele wasn't all…"
,Looking to save money....and have fun,"The green tortoise was a great choice by my friend. There are a few hostels in SF but this one was perfect. Nice location for a bunch of attractions (trolley tracks are a few blocks away, the piers are a few blocks away, financial district is a few blocks away, “Lombard street”…"
,Great feel. Very welcoming.,Fantastic start to our trip in San Francisco. There is a very welcoming feel about the place and a sense of community. Breakfast and dinner were great too. Reception staff are super helpful. Would definitely come back.
1,Good place to stay,"It's a nice little place to stay short-term. The service was excellent, and staff were friendly. The bathrooms were clean. But in my opinion, what really makes or break your experience here is the people that you end up sharing a room with. There can be some sketchy individuals…"
,Pleasantly Surprised!,"Never staying in a hostel before, I had my doubts.  I envisioned the shared bathrooms to have several toilets and showers and no privacy.  I expected (at least) slightly dirty conditions and run-down rooms.  Not!  The restrooms are private, each having its own toilet, sink and…"
,Location could be better.,"I don't know why everyone is saying the location is that great, because it isn't. I counted at least 4 strip clubs just walking to the hostel from the main road, the hostel is also not near any transport station in particular.  Bathrooms were quite acceptable, with some being…"
,"Great Location, Fun Building and Amazing Staff!","Get prepared for some stairs!  The hostel offers a great number of amenities including a sauna, breakfast and shared dinners on some nights.  We had a private room which was larger than expected and there was a sink in there as well which was helpful.  There are multiple…"
,Really great service!,The shared and free breakfasts and dinners were a super lovely surprise and was a nice way to meet the other travellers! I felt super comfortable and at ease. Location was also central and accessible. I didn't realise I had left an item behind and the staff were very helpful in…
,Green Tortoise Rocks,"If you're the type of traveller that likes boring, stereotype, cookie cutter venues then the Green Tortoise is NOT for you. But if you want a memorable stay in a fun place, friendly staff, and mixing with people from all around the world, then consider this venue. The money you…"
,"Great Location, Wonderful Building, Excellent People","Located in Chinatown near a lot of the tourist sites. Wonderful 1940s ballroom is used as the dining hall. Many free meals, pub crawls and evening outings. My wife and I had our own room which had a bunk bed designed for three. The shared bathrooms are hard to get into in the…"
,Amazing,"Absolutely loved this hostel. Brilliant staff, clean rooms and tonnes of space. Each day there was a different deal from free dinners, free bar crawls or activities in the main dining room. Worth every cent with great free breakfast every morning. "
1,My favourite hostel,"The Green Tortoise is my favourite hostel I have ever stayed in. The atmosphere is great and the reception staff are incredibly helpful - no matter what the question!  They have complimentary breakfast every day of bagels with cream cheese, jelly (aka jam in my world!) and…"
1,Best hostel!,Stayed here for 5 days and can honestly say this was one of the best hostels I’ve ever stayed at. Great location - the hostel itself is on a slightly dodgy street but very close to Chinatown and North Beach. There were lockers in the rooms to store your things safely and the…
1,A nice experience!!,The hostel is really well equipped and located. The staff very friendly and the rooms clean. It's a good occasion to met unique and amazing people from all around the world. I really recommend this place!!
,Good Deal in SF,"Our flight was significantly delayed on our way to San Francisco, we emailed ahead of time to let them know we would be arriving late and they were very helpful. The breakfast was ok but it was nice to have it included with the rate. It may take a little while to get into a…"
,Warm and Friendly,I have been  going here for the past six years while I am running the San Francisco Marathon.  Hotel staff is always warm and welcoming I feel like I’m going home to San Francisco or like I have a family in San Francisco when I stay at the Green Tortoise Hostel.   A great…
,Very happy with our stay!,"The hostel was a great place to unwind whilst in and around San Francisco. The staff were just fantastic, and certain events, evenings also, made us feel very welcome. The attention given to make the environment feel inviting was a refreshing change to the other hostels we had…"
,Stay ruined by one staff member,I stayed at the Green Tortoise a few years ago and had an awesome experience. I’ve since recommended it to lots of friends and family and they have all stayed. So when I had two nights in SF I straight away booked here again.   We had a rough day and our two flights were delayed…
,what a great time!,"I stayed in a small room with my two teenagers, and we had a blast.  Green Tortoise has an amazing location near everything we wanted to see, so it became not just our hostel but a base for operations.  For example, we came over mid-day to have the free tea/ coffee they provided…"
,Decent Value for an Expensive City,"If you want to stay in a safe and lively neighbourhood in central San Francisco but don't want to have a sell a kidney to do it, then this is the ideal place.    Yes, it is a hostel and, yes, it is a slightly frayed building, but there was nothing objectionable in either of…"
,Great location and friendly staff!,"My friend and i stayed here for 6 nights and had a wonderful time! The location is perfect.  You can walk to China Town, Fisherman's wharf, Pier 39, and so much more. The hostel is nice, I was worried about it being promoted as a 'party hostel' but the rooms were quiet and there…"
,Home from home,"Great helpful and friendly staff easy check in, rooms and furnishings a Little worn but well maintained and clean bonus free casual breakfast and dinner on alternate nights makes this place excellent value the location is in easy walking 🚶 distance to all the attractions trips…"
,Good atmosphere ,I stayed here for three nights in a three person room with two friends. I found the staff to be very friendly and helpful. They were knowledgeable about the city and best ways to get around. The hostel had a lovely atmosphere. There were shared bathrooms and shower rooms on each…
1,Love this hostel!,"This is exactly what you expect and pay for! Great service, good vibe, friendly staff. Clean and comfortable! Good location! Rooms are very basic, bathrooms are communal but clean.  Has a certain charm about it. Downside - the steps ! No lift. but its all part of the experience!"
,Fun atmosphere for the younger crowd,"Such a fun, affordable spot to experience San Francisco. The rooms are small but they do offer a few private room options. The ballroom is a great place to hang out and meet people from all over the globe. One of the times I was there they were shooting a movie outside! It’s…"
1,Just ok.,"I have stayed in so many hostels in U.S. and other countries and this is the first one that I have unpleasant memories. My bedroom (shared, 4 beds) had a strong stuffy smell. Getting back to the hostel at night very tired, ready to sleep and smelling that was not good at all.…"
1,Excellent!,"Brilliant customer service and super friendly staff- not over the top but there when you need them. Excellent communal room which is massive so there’s enough space to sit on your own which I like to do. Breakfast consisted of bagels, jam, marmalade, peanut butter, butter, cream…"
,Great surprise ,"Ok, we were a little skeptical when booking our stay - we are young retirees, not the general demographic for a hostel.  As soon as we began the check in though we knew we had made the right decision.  The staff are all warm and helpful, and we felt comfortable immediately. We…"
,"Cozy, friendly, simply worth it!","This beautiful place is full of love and attention for the traveler. The staff is fantastic and passionate, always kind and patient (also with foreign visitors). Rooms are what you expect from an hostel, plenty bathrooms (enough for never have to wait), free breakfast in the…"
,Odd Location but Otherwise Great,"Green Tortoise is an easy wal/busk from the just about anywhere in San Francisco, and was the first hostel in the US I ever stayed in.  The 4 bed dorm was decently sized, and the beds were comfy (although I could have done with a thicker comforter).  However, they use…"
1,Amazing location and price,"Had an emergency and needed somewhere to stay. Booked online without a hitch, and had a roof over my head for a great price. Rooms were secure and clean. Beds had curtains, fans, and storage. Bathrooms were wet, dirty, and usually full, so pack your patience. Kitchen was great…"
1,Good free breakfast choice,"Stayed here for a week.. a week too long! Not a bad location, good choice of free breakfast and free hot drinks all day.   Dodgy looking carpets could do with an update.  Really high bunk beds, almost fell off coming down!  Big good size kitchen but the down side was that there…"
1,Miss this one and you will be green with envy,"So, I am a wrinkly old coot of 63; the sort one just doesn't see that often in a hostel. I found the staff to be enthusiastic and efficient. They are accomplished in the art of banter and laughed at my jokes---this always earns a couple of extra stars. The facility is clean and…"
1,Awesome Hostel ,I am a solo female traveler  This hostel is in a great location. It has old school charm. Helpful staff and great breaky and facilities. I'd stay again. Thanks lots!  They have connections with things to do and places to see with helpful maps and guides that you can access. I…
,AS IS,"Yeah, it is what it is. Not my cup of tea. I  stayed here because of many ppl recommendations. However, I would not stay here again. The location is okay, the price is fine, they are acommedating and will answer whatever question you need or have. For example, I needed a lock…"
1,Friendly staffed hostel,"I had booked a private room. For the price you pay for a centrally located hostel in comparison with normal hotels it is a okay deal. Very friendly and accomodating staff, had good tips of where to go and how to get there. They are interested in how you are and how your day was.…"
,Great stay! ,"Stayed in an 8 bed mixed dorm for 5 nights, great stay. The rooms had everything you needed and there were plenty of showers available. Free breakfasts and dinners make travelling onna budget easier. Staff very helpful, lots of cheap activities to sign up for. Great location,…"
,BEST. HOSTEL. EVER,"Great comfy beds, lots of history. Breakfast facilities great. The craic is mighty. Must stay if doing one of their awesome trips. Lots of good food places nearby. No downsides for me. They are good at letting you leave suitcases"
1,Friendly staff and clean comfortable beds.,"I had a wonderful time staying in Green Tortoise hostel. I booked an all-girls dorm room and got the lower bunk bed(I had requested for the same prior to coming to SF). They had good breakfast options, with bagels (choice of spread- cheese/butter/peanut butter), juices, milk,…"
1,Convenient with friendly staff and atmosphere,"Very central location, near little Italy, China Town, and Fisherman's Wharf. Clean room, bed, and good showers (bring your own towel). Has facility to store your luggages when you check out or you need to stash it overnight. Will definitely stay again."
,My first stay ever in a hostel,"It was my first ever stay in hostel and i was very skeptical. However it turned out to be amazing, nice clean bed and the room where i stayed. Good room mates. The hostel had a nice ambiance and decent workstation area. They had ample activities to be done in the evening which…"
,Amazing place ,"This Hostel is very nice!  We stay a few days ago there and ee feel very good, the atmosphere is nice and safe!  You can rent a bike from hostel, and shure they have a recomandation for a parking (in case you go there with a car)  Breakefast is good,cofee, tea, jelly, bread,…"
,Very comfy,"Friendly staff, great breakfast, convenient kitchen and bathrooms, comfortable rooms with some space to store your luggage, clean and extremely well located, the Green Tortoise is a very nice hostel!!"
1,"Good Karma, Value Experience","Clean.  Helpful staff.  Friendly Guests.  Great environment.  Shared bathrooms seldom all booked at once.    Solid general location near great Italy area of town and great little restaurants - if gentlemen’s clubs on street of Hotel do not flummox.   Felt safe.  Solid value,…"
,Friendly but not quiet,"The Staff is very friendly and helpful, you also can find free food easy in the kitchen, but if you want a good night sleeping should better consider another option. We stayed there during Saturday, there were people walking, smoking in the restrooms and making noise all night,…"
,Pleasantly surprised,"We were booked for two nights, but in different rooms each night. There was a slight mixup when we arrived, but they were very fast to correct it, and actually upgraded our second night for free! Staff very helpful; good food/kitchen setup. Comfy beds etc. Lots of services:…"
,Nice hostel,"Very friendly staff and a lot of backpackers. We met some really nice people and it was a blast. Lots of activities or just places to chill. Rooms are all mixed up, but people in general think about the others in the rooms. "
1,The best hostel I have stayed in!,"I had the best time at the Green Tortoise. Everything about this place was great. I was traveling on my own, the front desk staff are super friendly and happy to answer any questions and made me feel very comfortable. I ended up extending my stay by an extra 3 days because it…"
1,Awesome,"Already from the outside you can see a odd building. As you enter you discover a great old fashion style, that bring you back in the years! I've found it so cool! The staff are friendly, bathroom and bedroom keep clean everyday! The dining room so cozy! Excellent wifi and free…"
1,Recommendation,"Very friendly and helpful staff. At the front office you find lots of information to make your stay in SanFran more interesting and easier. Very central location for China Town, little Italy, nice half hour walk to Fishermans Wharf, less to commercial city centre etc. I was…"
1,Feeling like at home !!! Great hostel,"The hostel is clean, people who work in the hostel are very friendly and help me for any request. breakfast very good, parties, activities if you wanna join them are nice. thanks to the green tortoise hostel for the great days I have spent there in SF. !!!!!!"
1,Time of my life !,"BEST hostel experience ever (and first haha) Staff are super friendly and helpful. Everything at the hostel is very straightforward with signs posted everywhere. Great stuff going on (dinner three nights a week, free breakfast, towels for $1, laundry services, maps, and great…"
,First Hostel Experience,This was my first time ever staying at a hostel and it was a great experience. Very friendly staff and good price! The only thing I would have done different was book a private room instead of a group room but that's just because I like my privacy not because I had bad…
1,Good hostel value,"Green Tortoise Hostle is a good value for San Francisco, the common room is large and breakfast is well done. Shared rooms feature lockers, a large frig is available, nice location would recommend for solo travelers."
1,Best hostel ever!,"It's the best place for backpackers. You get one of the hostels for a really good price.    It has nice rooms, cleans bathrooms and showers and great food. You can have a really good breakfast and dinner in the same place.   And you get to meet more people!"
1,Superb Hostel ever,"I have stayed there at female dorm for 7 days because of my bread baking course in SF ,  the location is very convenient that able to go tourist spot by walk or bus , the room is super clean, the staff is very friendly and helpful too , the most favourite I recommended  to you…"
,"Great staff and vibe, but left after one night","Unfortunately I can only give Green Tortoise a 2☆, and this is just due to the friendly staff and their help in resolving issues.  We had booked for 4 nights and were given a private room in the seperate building a couple of blocks down from the main building. The room was small…"
,Stinky room,"I spent 4 nights at the hostel in a double room. There was a heavy stink in the room, probably because of a lack of cleaning. That really ruined our stay.  Apart from that the hostel was OK, good location and breakfast included."
,Lovely hostel- 2nd visit in 5 years still as good as ever ,"Returned to the Green Tortoise for my second stay and it it is still as amazing as ever! Great location, comfy beds but the best part really is the ethos and atmosphere! They really want you to enjoy your stay and there are a host of freebies including delicious meals and…"
1,My first Hostel,"Was a bit unsure as this was my first Hostel but the rate was so great I gave it a try. I was thrilled with my experience at Green Tortoise Hostel - SF! Everyone was very friendly - very clean and nice set up with private bathrooms. I had amazing roomies all from Germany. Yes,…"
1,"Good chioce for San Francisco, Valuable Hostel","A very good place, perfect location between Chinatown, Little Italy, Downtown and Fisherman Warf, 5 miles from Golden Gate. Safe, and clean and really great social atmosphere: 2 free dinner a week an daily free shared food from neighbour pubs and cafè. Appreciable campaign…"
,Great hostel!,"We stayed 10 nights in this hostel, and it was awesome. Best what we have stayed. We booked a private room, what was in a different building, so we got really good sleep. It was clean, and the bed was super comfy :) there was also a washing machine."
1,"Some good things, a few improvements needed. Forget the breakfast.","The Green Tortoise is largely a place for the younger folks, ones who are generally more agreeable to bunk room situations. I'm not, but the Green Tortoise does have about five single rooms in a separate building, just a couple of blocks from the main building. I chose one of…"
1,Lively and clean,"I had a great stay at the green tortoise. There were many social events but the rooms were calm - when I didn't partake I got a good night's sleep. It felt sociable but not like you might expect a ""party hostel"" to be. The rooms and bathrooms were clean, there was lots of free…"
,Great Hostel Great Location,"I stayed in the Green Tortoise for 5 nights in August 2017. Perfectly located in the heart of North Beach, surrounded by some cool bars, restaurants and cafes. It is also walking distance to the Wharf and Financial District including Union Square. Staff were friendly and helpful…"
,Excellent Location and Amazing Staff,I love  North Beach and being a local I expected a lot. I was surprised I could sleep in the 4 bed female dorm but I actually did even though I'm a light sleeper. Coffee is great in the big room - the kitchen is well equipped - and the location in North Beach is just a few…
,Wonderful Stay! ,"Green Tortoise is in an excellent location; very central to all the attractions, shops and food. Front house staff were always very friendly and helpful.   We stayed in a private room which is in a different building - less than 5 minutes down the road from the main building. It…"
1,Great place ,"This hostel is a really nice place to stay! After the stairs (there is no elevator), it's a really nice experience! The hostel propose a lots of attraction to meet others travelers, free meals (few times a week), a big dining room with music and live music sometimes, pub…"
1,Ok calm hostel ,"The hostel was overall really ok. Bedrooms were clean and beds were comfortable. Breakfast in a do-it-yourself way was nothing special but not bad (tea, coffe, milk, juice, bread, cereals, some fruit, some muffins, boiled eggs and a bean meal, the same recipe every morning),…"
1,Schmicko,"Best hostel I have stayed in. Nice and clean, great staff, free dinners three nights a week, free breakfast every day and 5 days a week they supply leftover goods from local cafes to share with us following the zero waste policy. There are also events on every night to help meet…"
,Amazing stay,"I stayed 5 nights in this amazing hostel . Great location, within walking distance of many interesting neighborhoods (the crookedest street, he fisherman wharf) and close to bus lines.  The hostel provides great entertainment like live music, pub crawls, or cooking nights. The…"
,"Good hostel, Good location ","Stayed here with my girlfriend, I have stayed in a few hostels before and this has to be one of the better ones. Mixture of friendly and awkward staff. Had plenty of activities for people staying there to get involved in! Would be great for a lone traveller looking to meet…"
1,Best hostel ever like my home ,"Hi, my name is Stella. I stayed in green tortoise for three nights. I had a great time there. I learned sharing, serving, and recycling there. I love their Sauna and location. It is very closed to where I want to go. The city light bookstore, happy donut, and churches are in…"
1,Staff went above and beyond,While staying here the staff were really friendly and helpful with any questions I had. After leaving they showed care and compassion I have not recieved from any other hostel. I lost my towel while staying at the hostel and the staff went out of their way to make sure I got it…
1,A bit grotty but has the best time,"Stayed here whilst traveling alone and managed to find lots of people to go out partying with and had literally the time of my life. When I looked down the side of my hostel bunk bed, there was a LOT of dust and crud, but it was sort of worth it because of the fun and meet ups…"
1,Good Experience for my 1st Hostel Stay,I really didn't know what to expect for my first time staying at a hostel.  It was in a great location...local public transportation was awesome and it was in walking distance of everything.  I stayed 1 night in a shared room (bunk beds) with 3 other solo female travelers.…
1,Great vibe,"I just spent four nights at this hostel...shared a room with three other solo women travellers. Loved their company and the great vibe at the hostel...helpful staff, great location and wonderful free breakfast and weekday dinners...special mention to the chef  Egidio from…"
,Best hostel we've stayed in,"My girlfriend and I stayed in a private room here for a week. In short, we agreed that overall this is the best hostel we've stayed in ever, and we've stayed in about 40 over the years. What makes this hostel so good is that it has the organization and efficiency of the best…"
,Great hostel,"Great clean hostel, the building has a lot of character and the bathrooms and rooms are clean and comfortable. Friendly staff, free breakfast and usually they have a hostel organised event on most nights. Very central and safe location, would definately stay again! "
,Awesome family experience,"It had been years since I stayed at a hostel (in Europe), but I booked a private triple room here due to the excellent price/location. Although the room was small, the beds were very comfortable, & the hostel was kept very clean. The staff was very friendly/helpful, and we…"
,Excellent backcapper option in SF,"Good dorm system for backcappers, individual lock cages for each visitor, clean sheets, good infrastructure, international room with pool tables, make your own breakfast system good staff and good location.  Bathrooms could be better designed certain sinks are too small or…"
,Loved it!!! ,"I absolutely loveeeed this Hostel. 1st off the staff was super nice and friendly. Is the place outdte a bit, yes but its clean. In my opinion VERY clean. I appreciated little details abt this Hostel: bathrooms were full bathrooms (sink, toilet and shower), showers had soap,…"
,HIGHLY recommend!,"This was my first experience at a hostel and it completely exceeded my expectations! All staff members at the front desk, particularly both Sarahs, are very friendly and extremely helpful! This hostel offers many delicious options in their free daily breakfast and they also…"
,Fantastic place highly recommend!,"Stayed here for 3 nights in San Fran, staff were very helpful and friendly, rooms were comfortable and they provide a good breakfast to set you up for the day. Exactly what I expected from a hostel at a reasonable price. Great location into the center and only about a 10 minute…"
,The BEST of all! ,"My stay at the Green Tortoise was by far my most favoured, memorable and by far the most satisfactory of all my 40+ hostels ive stayed at. From the moment of entry I was welcomed with good tidings from the front desk staff and receieved as much help as I could possibly receive…"
,Loved it!,"This was a great hostel to stay at! we had a private room but the common room was a great place to meet people, eat and listen to music. They have events every night. Rooms were small but just what we needed, and clean Free breakfast and dinner 3 nights a week, the chef was…"
1,It's a hostel,"Expect the bare minimum. Personally, I don't understand some of the reviews raving about this place - sure, you meet people, but that doesn't mean it deserves a 5 star rating. The rooms are all pretty dark during the day, but bright from street lights outside during night. I had…"
,Great value and strategic location within city center,I've booked for a private bunk-bed room for 2 nights. The staffs were friendly and was able to explain the logistics thoroughly. There's free breakfast daily and dinner on everyday other odd days (nice!). There's ample shower room and I didn't really wait long in the morning for…
1,Coolest hostel in SF,"I spent many weeks in this fantastic place ! Every time I had to book a room in SF I wasn't able to change choice and decide for another place. Staff was great, breakfast simple but perfect as it was, rooms clean even in the mixed dorm. I had the chance to meet great people and…"
,I couldn't leave!,"A friend and I planned to stay for just as couple of days and ended up staying over a week.  When you step into the Green Tortoise Hostel you're welcomed with open arms. Throughout our visit here, we felt a part of a little international SF community. I met some wonderful people…"
1,Excellent Hostel & Amazing Location,I stayed here two nights and loved it. The staff was excellent and the hostel was clean and spacious. They have excellent free suppers (M/W/F) prepared by a cook and the breakfast is far above your average Continental fare. The location is right between Chinatown and the Italian…
,"friendly, meet people, location","You will get energize as soon as you check-in. there were lot of traveler, backpacker, friendly help desk, etc. Most important the hostel location, quite near to most of the place. I enjoyed the kitchen concept and had good breakfast ! They were arrange airport pick-up too,…"
,The place to be,"The Green Tortoise is based in little Italy at te Broadway. You can reach within 5 min Fisherman's Wharf and other attractions!  Great place which offers laundry ear plugs and so on for a smal charge (ear plugs for 1$, laundry 2$).   You also have entertainment programs. Nice…"
1,A place where you can meet people,"This is the best hostel I have stayed in the US. This hostel is so cozy and people are really friendly. I got to meet a lot of people through eating breakfast, and preparing dinner with the chief!  I recommend you to help out with the dinner with the chief on (Monday/Wednesdat/…"
1,There are better hostels for less $,"Stayed here for 2 nights before moving to another hostel in the area to meet friends. I had a private room in a separate building to the main one. Just 2 blocks up the road. Whilst it served a purpose, double bed, tv, clean(ish) shared bathroom, clean shared kitchen, ok…"
,Amazing stay,"Green Tortoise is an amazing  hostel.  They have a huge common area, with the most impressive kitchen I've seen in a hostel hands down. They have so many amenities and events that will keep you occupied for your entire stay computers to use and even a bicycle  room to hold your…"
,"Friendly, quiet and central ","We stayed in a private room in a separate building a block down the street. The room was small but had everything we could have needed. It was very quiet at night, heating worked well, the bathrooms were immaculate and the kitchen was fully equipped and modern. The balcony…"
,Great location & extremely clean,Recently stayed at this Hostel for 5 nights and would definitely recommend. We stayed in a private room at the annex down the road from the main hostel. The room was extremely clean and the bed was one of the most comfortable I've slept in! The staff were all friendly and made…
,Amazing location - Hostel has loads of character,"I loved my stay in the Green Tortoise, the building has so much character, the dining room ceiling is spectacular, the staff were friendly and as a solo traveller it had a great vibe and was so easy to meet fellow travellers.    Francis Ford Coppola's Zoetope studio and cafe is…"
,Served its purpose ,PROS: cheaper than most places. Breakfast good. More social interaction with fellow travellers. Helpful staff. Cozy. Party area close. Best mexican joint round the corner called Zorros. CONS: so many stairs. no lift. across the rd from a night club so a bit noisy over the…
1,"Good hostel, Great location ",Spent a few nights here and it was spot on. As hostel it offers the same as every other place I've stayed but the building itself is what sets it apart. It's great old place and the main dinning area is perfect for meeting fellow travellers. Location was perfect in my opinion…
,AMAZING,"This hostel is absolutely incredible. The location is very nice, right outside of Chinatown and the Financial District, moderate walking distance from a muni metro/bart station, and very close to attractions such as the Fisherman's Wharf and Lombard Street. The room was very…"
,Very nice place,"From the bottom to the top you can meet very nice people. Dining room big, comfortable and useful with a very big kitchen, pool table and a little stage where people can play music! Night entertainment. Bedroom and bathroom are clean, and at the second floor you can find a very…"
,Great Staff,"We did not stay at this hostel, but did need help from their staff.  The front desk was very kind and accommodating, it was very much appreciated in a pinch.  We actually talked about moving a leg of our stay to here because the location was so great, but they were already…"
1,Fun hostel experience...,"I've stayed at the Green Tortoise San Francisco location numerous times now, and it's always a good experience.  While the price for a bed may be higher than what you are used to internationally, it's what you would expect from most hostels in the US, at least for decent ones. …"
,Interesting Place,"More expensive than I am used to for a hostel. Lively, colorful place for sure. Super interesting and would have loved to stay more than one night for the experience. Place was clean and safe. Parking was annoying but we got there around 11 pm and its in the middle of SanFran so…"
1,Very good location for hippies and friendly staffs,"I have to admit that Green Tortoise is a very interesting hostel that offers you a lot of things from the adventurous trips, free dinner, good locations near to a lot of tourist attractions, very sturdy and comfy bed, decent breakfast, clean kitchen, very big dining hall with a…"
1,Hostel 3,"Not a big fan of this place however the staff were helpful and friendly. There was no elevator and having to walk up 3 flights of stairs with 3 large bags is not ideal. The kitchen and dining hall was cool, access to computers was great. Laundry was a bit pricey. And wifi was ok."
1,Traveling Solo,"I absolutely loved my stay in San Francisco and a large part of that was because of this hostel. I met so many amazing people and made great friends! The free breakfast and dinner really cut my spending costs and were a great help! Plus, they were delicious! It is an older…"
1,Great stay in SF!,"The Green Tortoise Hostel is run by Sarah's and their team! All the staff are friendly and happy to help out in any way possible. The hostel is very environmentally friendly and runs events every night in the hostel. There are free dinners three nights a week, with leftovers…"
,Great location,"Really great location and close to everything. The only down side is that it takes far too long to grab a shower in the morning, toilets and showers are pretty much all in use from about 7am - 10am so expect to have to wait a while and give plenty of time to get ready, climbing…"
