Title,Text
Awesome,"Already from the outside you can see a odd building. As you enter you discover a great old fashion style, that bring you back in the years! I've found it so cool! The staff are friendly, bathroom and bedroom keep clean everyday! The dining room so cozy! Excellent wifi and freeâ€¦"
Recommendation,"Very friendly and helpful staff. At the front office you find lots of information to make your stay in SanFran more interesting and easier. Very central location for China Town, little Italy, nice half hour walk to Fishermans Wharf, less to commercial city centre etc. I wasâ€¦"
Feeling like at home !!! Great hostel,"The hostel is clean, people who work in the hostel are very friendly and help me for any request. breakfast very good, parties, activities if you wanna join them are nice. thanks to the green tortoise hostel for the great days I have spent there in SF. !!!!!!"
Time of my life !,"BEST hostel experience ever (and first haha) Staff are super friendly and helpful. Everything at the hostel is very straightforward with signs posted everywhere. Great stuff going on (dinner three nights a week, free breakfast, towels for $1, laundry services, maps, and greatâ€¦"
Good hostel value,"Green Tortoise Hostle is a good value for San Francisco, the common room is large and breakfast is well done. Shared rooms feature lockers, a large frig is available, nice location would recommend for solo travelers."
Best hostel ever!,"It's the best place for backpackers. You get one of the hostels for a really good price.    It has nice rooms, cleans bathrooms and showers and great food. You can have a really good breakfast and dinner in the same place.   And you get to meet more people!"
Superb Hostel ever,"I have stayed there at female dorm for 7 days because of my bread baking course in SF ,  the location is very convenient that able to go tourist spot by walk or bus , the room is super clean, the staff is very friendly and helpful too , the most favourite I recommended  to youâ€¦"
My first Hostel,"Was a bit unsure as this was my first Hostel but the rate was so great I gave it a try. I was thrilled with my experience at Green Tortoise Hostel - SF! Everyone was very friendly - very clean and nice set up with private bathrooms. I had amazing roomies all from Germany. Yes,â€¦"
"Good chioce for San Francisco, Valuable Hostel","A very good place, perfect location between Chinatown, Little Italy, Downtown and Fisherman Warf, 5 miles from Golden Gate. Safe, and clean and really great social atmosphere: 2 free dinner a week an daily free shared food from neighbour pubs and cafÃ¨. Appreciable campaignâ€¦"
"Some good things, a few improvements needed. Forget the breakfast.","The Green Tortoise is largely a place for the younger folks, ones who are generally more agreeable to bunk room situations. I'm not, but the Green Tortoise does have about five single rooms in a separate building, just a couple of blocks from the main building. I chose one ofâ€¦"
Lively and clean,"I had a great stay at the green tortoise. There were many social events but the rooms were calm - when I didn't partake I got a good night's sleep. It felt sociable but not like you might expect a ""party hostel"" to be. The rooms and bathrooms were clean, there was lots of freeâ€¦"
Great place ,"This hostel is a really nice place to stay! After the stairs (there is no elevator), it's a really nice experience! The hostel propose a lots of attraction to meet others travelers, free meals (few times a week), a big dining room with music and live music sometimes, pubâ€¦"
Ok calm hostel ,"The hostel was overall really ok. Bedrooms were clean and beds were comfortable. Breakfast in a do-it-yourself way was nothing special but not bad (tea, coffe, milk, juice, bread, cereals, some fruit, some muffins, boiled eggs and a bean meal, the same recipe every morning),â€¦"
Schmicko,"Best hostel I have stayed in. Nice and clean, great staff, free dinners three nights a week, free breakfast every day and 5 days a week they supply leftover goods from local cafes to share with us following the zero waste policy. There are also events on every night to help meetâ€¦"
Best hostel ever like my home ,"Hi, my name is Stella. I stayed in green tortoise for three nights. I had a great time there. I learned sharing, serving, and recycling there. I love their Sauna and location. It is very closed to where I want to go. The city light bookstore, happy donut, and churches are inâ€¦"
Staff went above and beyond,While staying here the staff were really friendly and helpful with any questions I had. After leaving they showed care and compassion I have not recieved from any other hostel. I lost my towel while staying at the hostel and the staff went out of their way to make sure I got itâ€¦
A bit grotty but has the best time,"Stayed here whilst traveling alone and managed to find lots of people to go out partying with and had literally the time of my life. When I looked down the side of my hostel bunk bed, there was a LOT of dust and crud, but it was sort of worth it because of the fun and meet upsâ€¦"
Good Experience for my 1st Hostel Stay,I really didn't know what to expect for my first time staying at a hostel.  It was in a great location...local public transportation was awesome and it was in walking distance of everything.  I stayed 1 night in a shared room (bunk beds) with 3 other solo female travelers.â€¦
Great vibe,"I just spent four nights at this hostel...shared a room with three other solo women travellers. Loved their company and the great vibe at the hostel...helpful staff, great location and wonderful free breakfast and weekday dinners...special mention to the chef  Egidio fromâ€¦"
It's a hostel,"Expect the bare minimum. Personally, I don't understand some of the reviews raving about this place - sure, you meet people, but that doesn't mean it deserves a 5 star rating. The rooms are all pretty dark during the day, but bright from street lights outside during night. I hadâ€¦"
Coolest hostel in SF,"I spent many weeks in this fantastic place ! Every time I had to book a room in SF I wasn't able to change choice and decide for another place. Staff was great, breakfast simple but perfect as it was, rooms clean even in the mixed dorm. I had the chance to meet great people andâ€¦"
Excellent Hostel & Amazing Location,I stayed here two nights and loved it. The staff was excellent and the hostel was clean and spacious. They have excellent free suppers (M/W/F) prepared by a cook and the breakfast is far above your average Continental fare. The location is right between Chinatown and the Italianâ€¦
A place where you can meet people,"This is the best hostel I have stayed in the US. This hostel is so cozy and people are really friendly. I got to meet a lot of people through eating breakfast, and preparing dinner with the chief!  I recommend you to help out with the dinner with the chief on (Monday/Wednesdat/â€¦"
There are better hostels for less $,"Stayed here for 2 nights before moving to another hostel in the area to meet friends. I had a private room in a separate building to the main one. Just 2 blocks up the road. Whilst it served a purpose, double bed, tv, clean(ish) shared bathroom, clean shared kitchen, okâ€¦"
"Good hostel, Great location ",Spent a few nights here and it was spot on. As hostel it offers the same as every other place I've stayed but the building itself is what sets it apart. It's great old place and the main dinning area is perfect for meeting fellow travellers. Location was perfect in my opinionâ€¦
Fun hostel experience...,"I've stayed at the Green Tortoise San Francisco location numerous times now, and it's always a good experience.  While the price for a bed may be higher than what you are used to internationally, it's what you would expect from most hostels in the US, at least for decent ones. â€¦"
Very good location for hippies and friendly staffs,"I have to admit that Green Tortoise is a very interesting hostel that offers you a lot of things from the adventurous trips, free dinner, good locations near to a lot of tourist attractions, very sturdy and comfy bed, decent breakfast, clean kitchen, very big dining hall with aâ€¦"
Hostel 3,"Not a big fan of this place however the staff were helpful and friendly. There was no elevator and having to walk up 3 flights of stairs with 3 large bags is not ideal. The kitchen and dining hall was cool, access to computers was great. Laundry was a bit pricey. And wifi was ok."
Traveling Solo,"I absolutely loved my stay in San Francisco and a large part of that was because of this hostel. I met so many amazing people and made great friends! The free breakfast and dinner really cut my spending costs and were a great help! Plus, they were delicious! It is an olderâ€¦"
Great stay in SF!,"The Green Tortoise Hostel is run by Sarah's and their team! All the staff are friendly and happy to help out in any way possible. The hostel is very environmentally friendly and runs events every night in the hostel. There are free dinners three nights a week, with leftoversâ€¦"
Great hostel in a great location,"Affordable option, especially for the solo traveller. Great facilities, very friendly and helpful staff. Perfect location for exploring the city and really enjoyed the free dinners and breakfast and using the communal space."
"Clean, safe, and communal!","This is my first 5 star review of any hotel I have ever stayed in, and the Green Tortoise Hostel (GTH) earned it in absolutely every way. Now, I have stayed in much nicer hotels over the years, but the first question that needs to be answered when giving a 5-star review wouldâ€¦"
Best Hostel I`ve stayed in,"Very helpful staff. Really good breakfast and 3 free evening meals per week. Best common room to hang around in. Very well located in North Beach, near City lights Bookshop and Coit tower. lots of activities to participate in."
Mostly greay,"I've stayed at the hostel several times however this most recent trip in a private room was...wonderful. The staff remembered my name from a week ago, the bed was freaking amazing. Only small downside was the tv that did not work, yes I did follow the detailed but obscureâ€¦"
Home away from home ,"A cozy converted guesthouse where the hostel creates an atmosphere of being home. With free meals 3 nights a week, large communal dining room, sufficiently sized rooms and just enough bathrooms. The green tortoise is clean, comfortable and in an awesome location. "
The place to stay in San Fran!,"One of the best hostels I've ever stayed at! Location was awesome, minutes from the quirky North Beach bars and close to Fisherman's Wharf. Ignore the people who say there's lots of strip bars nearby, to be honest, you don't notice them!! As a female solo traveller I never feltâ€¦"
A rare example of a true hostel in the US!,"I've stayed in a lot of hostels around the world and found that the USA doesn't have much of a hostel culture. The Green Tortoise isn't like that though, it's got a great hostel vibe, awesome activities, plenty of cheap and free stuff (especially the tri weekly free dinnersâ€¦"
Good located Hostel,"Clean Hostel but smelled of stale air. Top located - Around are many bars and clubs, but in my room was it very quiet. The Breakfast was great and it gave opportunities to cook and eat together. Easy to find people to hang up."
Great Hostel for Socialising!,"The people made this hostel great. It is a hub for travellers and facilitates this through a giant common room, computer suite and mixed as well as same-sex dorms. I was a girl travelling alone and felt totally safe and welcomed staying in a room with 7 guys. There are lockersâ€¦"
Very Average Hostel,"I'm shocked by the overwhelming number of 4-5 star reviews this hostel is getting. I mean, seriously!?This is a very, very average hostel. I stayed in a 4 bed dorm (+ window bed, don't ask me what that is) and it was just fine. Some bathrooms were clean and spacious, whileâ€¦"
Perfect for solo travelers ,"37 yr old solo female traveler. Like to site see and party - perfect location, friendly staff, clean for a hostel, strong wifi signal, plug sockets beside bed, large storage space (bring a padlock), lots of information for trips and local information, great atmosphere, if youâ€¦"
Bit different!,"The green tortoise is a huge hostel in an old ballroom of some sort, full of character and great crowd, rooms are standard, comfortable and not too noisy, free breakfast which is really good and delicious free dinners 3 times a week, great atmosphere. Bikes can be rented andâ€¦"
Excelent hostel,"This hostel is great. Stayed a week in the 7 bed room. My bed wasn't the best because it is at the window, so it is very noisy. Great common saloon, great breakfast. Helpful and friendly staff with lots of activities in the hostel."
This is what I imagined hostelling would be like in my 20s,"This is a great hostel. The building is impressive and they have used the old ballroom really well as a breakfast/dining/social room. The breakfast is good and the free dinners are pretty cool and tasty. The rooms aren't huge, but they're nice and for a hostel of that size,â€¦"
Fantastic Hostel!,"This hostel was excellent, best of all - the beds!! It was like sleeping on a cloud! Even though the hostel itself is very big and therefore a lot of people, it was very nice and quiet. The staff were very friendly and very helpful when I got in quite late.   I only stayed oneâ€¦"
Disfunctional and weird,"The entire place is kind of creepy. Reception seems to tolerate your presence, but not actually care about your business. Small rooms with just a sink. To use the bathroom you need to walk down the hall and crawl into a restroom disguised as a closet. I guess I would stay hereâ€¦"
"Excellent Value, Lovely Rooms, Breakfast Inc, Friendly Staff","I stayed in the Green Tortoise in 2013 and when I came back to SF in 2015 I couldn't imagine staying anywhere else.  The staff are very friendly and helpful. The rooms are comfortable - there are bunk beds, with giant lockable storage under the beds and girls only dorms areâ€¦"
little house on the praire,"Had an amazing warm,  comfortable, stay in the Green Tortoise hostel. I stayed in a small house around the corner couldn't have been more perfect. A lovely view on the balcony, clean and modern kitchen. But still welcome to access the main hostel l stayed for 2 days waiting toâ€¦"
A friendly gem in San Fran,"Green Tortoise has a great vibe. Clean rooms and bathrooms, very friendly staff and an excellent social area. Good if you don't want a sterile place to stay. It's also 2 minutes away from City Lights Bookstore, which is wonderful."
A hostel that's really for the guests!,"First of all, the staff are super friendly and informative, and waive fees at the drop of a hat. They organise several free activities for guests, and provide plenty of free food, too. The bathrooms are plentiful and basic toiletries are supplied."
Like a big hug,"This was my first time staying in a hostel (SFran DT hotel prices are crazy) and I really enjoyed it.  Stayed in a private room in the main building- everything is very clean. I met people from all over , had some good conversations, and felt at home here.  For someone travelingâ€¦"
Th greatest place to stay in SFO,"I checked in Friday November 13th. There are a bunch of good stuff I'll review about this hostel. You can't beat the location and price, the hostel is located right on Broadway and Kearny, it is within walking distance to bars, restaurants, it is within walking distance toâ€¦"
Loved it!,"Great location next to Chinatown, and you can walk to the pier. Comfortable beds, nice breakfast, great people, great atmosphere! Be prepared to make friends and attend their nightly activities too! I would recommend this to everyone and anyone!"
"Super friendly, great breakfasts and comfy beds!","The decor of Green Tortoise is striking, the colourful carpets, and huge common area.  The staff are friendly and helpful, probably the friendliest staff I have ever found at a hostel. The breakfasts are good - bagels/Toast/Cereal/eggs/fruit.  There are free dinners three timesâ€¦"
Quirky and Fun Hostel- Great Stay!,"This hostel had me from the moment I walked in! It is so hip and fun with quirky decor and super friendly staff. My room was fantastic! I stayed in a private room and it was quiet, and had a mirror and lots of power points. My bed was big and really comfortable!  The bathroomsâ€¦"
Great hostel for the price and location ,"This hostel is well located of you are a newby to the city. Walking distance to many attractions, bars, rest. The staff at reception very helpful. Breakfast is pretty decent considering that is free. Large variation of food. Even eggs that you have to cook yourself but it'sâ€¦"
Just what you want out of a hostel experience.,"Around the clock friendly staff, well organized, playful atmosphere; with lots for its guests to do.   The sort of place where they've already thought of everything you need. Definitely look forward to my next stay there.  They also offer group adventure trips in their travelingâ€¦"
"Fun, inexpensive option in the heart of San Francisco","I am not in my 20s. I am not in my 30s. For me to stay at the Green Tortise Hostel was a bit odd to my friends.  However, I'm so glad I did this for my birthday!  This is a great, fun, quirky, older place to stay right in San Francisco.  It offers free breakfast every day - youâ€¦"
no complaints,"I stayed at Green Tortoise hostel and did 2 tours with them. The burning man tour and the Yosemite tour.  the hostel is very welcoming, well organised and the staff go out of their way to make everyone feel at home. The tours were also well organised without been micro managed.â€¦"
Better than others,"Its definitely one of the best hostels in SF, i was staying at another one that was the same price and i can't even compare it to this, this one made me feel comfortable since the first moment i get there, the staff is really polite and the people is amazing, i will recommendâ€¦"
one of best hostels i've stayed in,"This place is excellent. I used it while exploring San Francisco and then used it again as a base while I traveled elsewhere between San Francisco. Beds are comfortable, massive common area and good kitchen. The free breakfast is good and the free dinners are good also. Thereâ€¦"
Perfect,"Amazing place ! Nice and friendly people,  Free breakfast, free diner some days in the week and you can use the kitchen if you want cook something. Many rooms (dorm m/f/mix and private). Good situation in north beach. You can find a lot of interesting people here ! Goodâ€¦"
Great stay in SF,"The hostel is pretty decent and fun, full of events, fairly clean and amicable as a whole. Breakfast is bagel, pb&j, cereals and maybe some fruit. Wifi works ok, location is very handy. The downside was the owner was constantly freaking out about little things, it was reallyâ€¦"
Good place to stay in San francisco ,"I stayed here in August and enjoyed my time here at the hostel. The rooms are great, the bathrooms are always clean as well. There is a laundry room that you can do your laundry in and you can also join in for free meals during the week or buy your own alcoholic drinks and drinkâ€¦"
Great place,"Had a great time staying here for 4 nights. Rooms and bathrooms were very clean, and the kitchen was also spotless. The staff were generally friendly but I did overhear one staff member telling a guest to just use google maps when asked directions. It also didn't quite have toâ€¦"
First time in a hostel,"Really excellent hostel , really clean and staff is really friendly and everyone is absoulutely friendly. Great location and great for a first timer in a hostel. The breakfast and the events help you to meet more new people and this is what is exciting about the hostel . mostâ€¦"
True Hostel Experience,"Rooms are clean and spacious, bathrooms adequate, free breakfast and computer access, and free dinners spread throughout the week. One of the friendliest hostels I've stayed in the states, there seems to be a cool crowd that gathers here. Staff are friendly and helpful, and theâ€¦"
"Great location, nice atmosphere, had a great stay!","I traveled by myself to SF and chose the Green Tortoise after reading several reviews. As far as price, yes it was pricey but consider that SF is an expensive city as it is and for the location, it is totally worth it (I stayed in the private standard room). Yes, there are a lotâ€¦"
Fantastic hostel with great atmosphere,"Everything people say about this place is true- it's a hostel like no other. If you want to meet people this is the place to be. The atmosphere is fantastic with free dinners, organised activities and pool and foosball and guitars in the big common room. There is a real sense ofâ€¦"
best value - great location,"Loved it. Free minded, great get together, awesome location. Stayed there three nights and met a bunch of people but never felt obligated to take part in the activities. Like joint dinners, dancing, pub crawls and other stuff. Best breakfast i ever had in a hostel.  Huge kitchenâ€¦"
One Of The Best!,After walking the Pacific Coast Trail and California Coast Trail for a month I was exhausted and dirty by the time I got to San Francisco. I have stayed at many hostels and I now run one myself and I cannot speak highly enough of the Green Tortoise.   The check in process wasâ€¦
"Good hostel, great breakfast","Stayed here in two different rooms in May 2015. Overall a fun, clean hostel in an older building. Biggest complaints are the small room sizes and not enough bathrooms for the number of rooms. The staff are super friendly and happy to help, good wifi, good events organised by theâ€¦"
Excellent,"Great hostel, very organized and clean, staff very friendly and a big common room/kitchen to meet people. Location is excellent, close to many bars and restaurants, easy access to transportation. Only thing could be better would be to have more toilets/showers in the top floors."
Best hostel experience!,"I had already been in the Seattle Green Tortoise Hostel and I have had a great experience. I expected the same from the San Francisco one, but, for my surprise, it was even better!  The rooms are clean and the sheets seemed very clean too. I felt very safe in and around theâ€¦"
Friendly. Good atmosphere. Clean!,"Been to many hostels around the world. This one is the best. For an expensive city, this was excellent value! Location is superb. You get breakfast (bagels, fruit, juice, coffee, cereal) 3 nights a week they do dinner, which is free, as long as you help out. Lots of resourcesâ€¦"
Excellent!!!,I stayed at this hostel for a week. The hostel is very clean and the staff are friendly and helpful. The nightly activities were awesome and a great way to meet others. The location was brilliant with connections to everywhere in SF. Free dinners were of restaurant quality andâ€¦
Fantastic hostel. Would come back.,"I stayed here for three nights in April. It was such a nice hostel. The staff and other guests are all friendly, its secure (front door locks at 730pm but you can get in any time), the free breakfast is great and has food to suit all preferences. Would stay again."
"Great staff, location, and facilities","A highly recommend a stay at the Green Tortoise. I spent 8 nights there and found it to be a great hub for my adventures in SF. The location is central allowing you to access almost anywhere in the city within an hours walk. It's 10 minutes stroll from Fisherman's Wharf, theâ€¦"
This is your place if you are an easy-going traveller,"One of the best hostels I've ever stayed in, and the only one I returned to! :) Yes, it has every little nuisance that hostels usually have, but the atmosphere is excellent, the staff is super friendly and they even have fruits at breakfast! Great, great location too!"
One of the best hostels I've stayed in,Yes the area seems dodgy with some strips clubs and bars but I still felt safe and during the day it's a great location to go for a walk lots of book shops and restaurants near by. The staff were helpful and friendly. The breakfast and dinners are great! The ballroom is aâ€¦
Best hostel,"I stayed in this hostel for 3 days during my stay in San Francisco and I would recommend it to anyone going to SF. Beds are comfortable, location is great, breakfasts are yummy and people are great!   You can read all about my stay on my blog: https://travelpsyched.wordpress.com/"
Fantastic Hostel,"I cannot speak highly enough of this hostel. I was meant to stay for two nights, however plans changed and I only stayed one night. I caught an overnight bus from LA, meaning I arrived into San Francisco at around 7am. I walked into the hostel and was greeted warmly, and theâ€¦"
A bit of everything!,"Very nice place to stay in SF! Breakfast super good, including fresh fruits and eggs. Free dinners very healthy and homemade,  thanks to an italian Chef! Rooms are clean and spacious if you choose a shared bedroom, you've got your light next to your bed and plugins. There is aâ€¦"
Love green tortoise!,"The green tortoise was the perfect place to stay whilst travelling by myself. The rooms were clean and beds were comfy. Was so surprised but extremely grateful to find frew breakfast every morning and free meals on Monday, Wednesday and Friday - and the food was delicious asâ€¦"
Best hostel in the world ,"After travelling across NZ, Oz, Fiji and San Francisco for the past six months I had experienced my fair share of hostels. Green tortoise was by far the best hostel I've ever stayed in. First off the beds were so comfy, thick mattresses nice warm cosy duvets. The bathrooms wereâ€¦"
Great value and location,"Finding affordable places to stay in an expensive city like San Francisco can be a challenge. When I saw this hostel was offering rooms for just $36 per night, I jumped at the chance.  The location is good -- near Chinatown and a bunch of bars and nightclubs. It's maybe aâ€¦"
very friendly,"a very friendly astmosphere, clean rooms and welcoming staff beds and showers are in great conditions, breakfast is comes in big amounts and at the desk all kind of information is provided to make to visit the city easier"
"Great hostel experience, fun activities and interesting people","The Green Tortoise was such a good experience. Conveniently located, comfortable and a LOT of fun.  Everything at this hostel is designed to maximise your experience on your trip to San Francisco. It's much more than a bed for the night - it's fun activities; organised meals /â€¦"
By far the best hostel experience ever!!!,This is by far the best hostel I have ever been to. I have stayed here many times in the past. You will not find a hostel like it. Location is great. The area is very safe. Inside the hostel it has a massive dinning area. So it's great to hang out with friends or new friends andâ€¦
Awesome Atmosphere ,"This hostel was fantastic, it was in a great location, easy to find and walking distance to everything. The atmosphere at the hostel is one of the better I've experienced, always an event on at night to help you meet new people. Really good social hostel!!"
Best hostel I've been tp,"The atmosphere is fantastic. Such a good place to meet people when travelling. The most social hostel I've been to. The free dinners are great, some of the best meals I had travelling, they are mostly veggie which suits me and meal nights are a lot of fun and a great way toâ€¦"
This place made my trip!,"Went to SFCO suddenly by myself, no idea of what to do and where to start fromâ€¦ The set me up with everything I needed to know. Staff were so cool, I met bunch of nice traveler. The location is a plus!"
Great,"Good location. Friendly and helpful staff. Short walks to Chinatown, Little Italy, Financial District, Fisherman's wharf and so on. Plenty of transport around. Good free breakfast included. Free dinners on certain days. Computers and printers. Laundry facilities. Recommend."
cheap stay in the central of city,"I stayed 3 nights in this hostel and it was satisfying considering the price and the location. the staff are helpful on giving information and helping out. They give you a brief tour upon arrival and this is a huge building for a hostel, and also professionally run by a group ofâ€¦"
So great,"I had a wonderful time in this hostel. Really Clean, safe and extremely friendly. The people who worked here are awesome, you can find advices and they help you to have the best time possible. Free breakfast in the morning are a great advantages and you can meet other peopleâ€¦"
"$30/night, but you might want to book direct and save!","location. location. location. plus this place has everything (amenities-wise) that one could wish for and more...for only $30. including daily continental breakfasts and 3 dinners a week, bands, booze, party hostel that doesn't interfere with anyone outside there internationalâ€¦"
Good for location,"Location is excellent. There're many cafeterias and restaurants near this hostel. By walking from here, it takes only 15 min to Fisherman's Wharf, 15 min to union square, and 5 min to China town. The staffs and service were also good."
Never again,"Location is good but that's about all the positive experience I had.  Private rooms (where I stayed) are in separate building a block from main building where breakfast is. There are 2 rooms on ground floor but right next to main door, kitchen and bathroom so can hearâ€¦"
Fun and easy,"Great location, walking distance to just about everywhere. There's always something to do :) free dinners some nights and free breakfast every morning. Wifi signal is great. Even though the power was out in some rooms over a couple of days I didn't even notice and it was hardlyâ€¦"
Best hostel ever,"I loved this place and wish I could have stayed longer. The staff were really friendly and can answer all your questions.  The free dinners several times a week are insane, massive buffet! There was one night where we had Mexican it was fantastic. The hostel itself has a reallyâ€¦"
Check out was at 11AM!,"The place is very good. It is well located. I really recommended. It is very clean, internet is fast, computers all around, really really good!   However, do not expect to be treated on a friendly way... everything is too ""professional"" and dry. If you decide to stay one moreâ€¦"
"Fun, well-organized, great location","Just a block and a half from City Lights Bookshop along Columbus Avenue this character hostel has a dining hall which serves a great free daily breakfast and some dinners, as well as hosting lots of events that can help you meet others or just chill out in the hostel enjoyably. â€¦"
Really a good hostel,"Good value for money. Plenty of bathrooms, breakfast included in the price and dry sauna as well. Plus they have friendly staff who helped me with everything I needed (thx Joe and the other guy who had shift with you on August 31)."
Cold and impersonal treatment,"I arrived smiling and chatting to fellow travellers who had kindly helped me with my bags through a heavy door and up numerous stairs to the foyer. It was late and wasn't that busy, but I didn't even get a hello or anything friendly from the staff member who checked me in, justâ€¦"
Expensive but your money is worth it!,"I really liked this hostel! The building is huge...specially the common area, so at first is a little bit hard to know people but the activities organized at the hostel are perfect for that and at the end you will be meeting fellow travelers everywhere.  I stayed in a 8 bed dormâ€¦"
